"name";"observer";"recordinggivid";"user_reference";"layer_bron";"layer";"cover_pctvalue";"speciesnaam";"percentage";"recordingscale";"coverage_code";"survey_selectie";"opp_criterium_selectie";"opnameschaal_selectie";"volgnr_rbb";"nietgeselecteerd"
NA;NA;"IV2012080610434483";"155";"K";"K";99;"Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl";"2";"Londo (1) volledig";"p2";0;NA;0;4497;0
NA;NA;"IV2012080610434483";"155";"K";"K";99;"Calystegia sepium (L.) R. Brown";"1";"Londo (1) volledig";"p1";0;NA;0;4493;0
NA;NA;"IV2012080610434483";"155";"K";"K";99;"Cirsium arvense (L.) Scop.";"1";"Londo (1) volledig";"p1";0;NA;0;4496;0
NA;NA;"IV2012080610434483";"155";"K";"K";99;"Galium aparine L.";"1";"Londo (1) volledig";"p1";0;NA;0;4499;0
NA;NA;"IV2012080610434483";"155";"K";"K";99;"Symphytum officinale L.";"1";"Londo (1) volledig";"p1";0;NA;0;4495;0
NA;NA;"IV2012080610434483";"155";"K";"K";99;"Urtica dioica L.";"90";"Londo (1) volledig";"9";0;NA;0;4494;0
NA;NA;"IV2012082812125816";"BLO054";"K";"K";100;"Aegopodium podagraria L.";"50";"Londo 1976";"5";0;NA;0;13247;0
NA;NA;"IV2012082812125816";"BLO054";"K";"K";100;"Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl";"40";"Londo 1976";"4";0;NA;0;13246;0
NA;NA;"IV2012082812125816";"BLO054";"K";"K";100;"Dactylis glomerata L.";"2";"Londo 1976";"a2";0;NA;0;13244;0
NA;NA;"IV2012082812125816";"BLO054";"K";"K";100;"Holcus lanatus L.";"2";"Londo 1976";"a2";0;NA;0;13245;0
NA;NA;"IV2012082812125816";"BLO054";"K";"K";100;"Lathyrus nissolia L.";"1";"Londo 1976";"r1";0;NA;0;13241;0
NA;NA;"IV2012082812125816";"BLO054";"K";"K";100;"Vicia hirsuta (L.) S.F. Gray";"1";"Londo 1976";"r1";0;NA;0;13242;0
NA;NA;"IV2012082812125816";"BLO054";"K";"K";100;"Vicia sativa L.";"1";"Londo 1976";"r1";0;NA;0;13243;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Agrostis stolonifera L.";"1";"Londo 1976";"a1";0;NA;0;16812;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Bromus hordeaceus L.";"1";"Londo 1976";"p1";0;NA;0;16809;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Cardamine pratensis L.";"2";"Londo 1976";"p2";0;NA;0;16801;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Carex acuta L.";"2";"Londo 1976";"r2";0;NA;0;16813;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Carex disticha Huds.";"70";"Londo 1976";"7";0;NA;0;16810;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Centaurea jacea L.";"1";"Londo 1976";"p1";0;NA;0;16814;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Elymus repens (L.) Gould";"2";"Londo 1976";"a2";0;NA;0;16815;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Holcus lanatus L.";"20";"Londo 1976";"2";0;NA;0;16816;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Lolium perenne L.";"7";"Londo 1976";"1-";0;NA;0;16817;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Mentha aquatica L.";"1";"Londo 1976";"p1";0;NA;0;16811;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Oenanthe fistulosa L.";"1";"Londo 1976";"p1";0;NA;0;16800;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Poa trivialis L.";"1";"Londo 1976";"p1";0;NA;0;16807;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Ranunculus acris L.";"12";"Londo 1976";"1+";0;NA;0;16806;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Ranunculus repens L.";"1";"Londo 1976";"p1";0;NA;0;16805;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Rumex crispus L.";"1";"Londo 1976";"p1";0;NA;0;16804;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Silaum silaus (L.) Schinz et Thell.";"1";"Londo 1976";"r1";0;NA;0;16803;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Taraxacum";"1";"Londo 1976";"p1";0;NA;0;16802;0
NA;NA;"IV2012091015200104";"569";"K";"K";100;"Trifolium pratense L.";"1";"Londo 1976";"p1";0;NA;0;16808;0
