"hrl_code";"code";"wet_naam";"volgnr";"soortenlijstnr"
"G";"hmn diff ms-groep";"Anemone nemorosa L.";297880;608
"G";"hm(m)-kerngroep";"Anemone nemorosa L.";297982;609
"G";"hm diff heide-groep";"Anemone nemorosa L.";298000;611
"G";"hm_hmo-groep";"Anemone nemorosa L.";298797;618
"H";"hmn";"Anemone nemorosa L.";300848;642
"G";"moerasmossen";"Aneura pinguis (L.) Dumort.";294501;591
"G";"m diff hei-groep";"Aneura pinguis (L.) Dumort.";298216;615
"G";"m_ruim-groep";"Aneura pinguis (L.) Dumort.";298970;620
"H";"moeras";"Aneura pinguis (L.) Dumort.";300679;642
"H";"M diff 4010_7140oli";"Aneura pinguis (L.) Dumort.";301021;643
"H";"ven- en moerasgroep ";"Aneura pinguis (L.) Dumort.";305601;650
"M";"alkalische begeleid.";"Aneura pinguis (L.) Dumort.";306079;661
"rbbHf";"invasieve exoten";"Angelica archangelica L.";6716;500
"G";"Obligaat freatofyt";"Angelica archangelica L.";8090;550
"M";"invasieve exoten";"Angelica archangelica L.";306165;667
"rbbHc";"Verruiging";"Angelica sylvestris L.";5063;442
"rbbVos";"Verruiging";"Angelica sylvestris L.";5482;453
"rbbVos";"nattegroep";"Angelica sylvestris L.";5551;470
"rbbZil";"hf-groep";"Angelica sylvestris L.";5719;480
"rbbKam";"Verruiging";"Angelica sylvestris L.";6220;491
"rbbHf";"SleutelsoortenStart";"Angelica sylvestris L.";6731;497
"rbbHf";"Sleutelsoortenj";"Angelica sylvestris L.";6664;501
"Hu";"Verruiging047";"Angelica sylvestris L.";6422;519
"rbbHf";"SleutelsoortenKempen";"Angelica sylvestris L.";6631;526
"G";"Fac. freatofyt (V of";"Angelica sylvestris L.";7866;546
"G";"vocht ruigtekruiden";"Angelica sylvestris L.";8528;559
;;"Angelica sylvestris L.";295382;565
"G";;"Angelica sylvestris L.";8792;566
"G";"hc diff vos";"Angelica sylvestris L.";9790;585
;;"Angelica sylvestris L.";297101;593
;;"Angelica sylvestris L.";295358;596
"G";"vos diff zil-groep";"Angelica sylvestris L.";295476;599
"G";"hc diff zil-groep";"Angelica sylvestris L.";295518;600
"G";"hc diff ms-groep";"Angelica sylvestris L.";296862;603
"G";"valleigrasland-groep";"Angelica sylvestris L.";297006;604
;;"Angelica sylvestris L.";297915;608
"G";"hc diff heide-groep";"Angelica sylvestris L.";298127;612
"M";"natteruigte-sleutel.";"Angelica sylvestris L.";306091;662
"M";"dottergrasland";"Angelica sylvestris L.";306130;664
"M";"mc_ruig";"Angelica sylvestris L.";306341;674
;;"Angelica sylvestris L.";306499;687
"M";"natteruigte-grzegge";"Angelica sylvestris L.";306738;689
;;"Angelica sylvestris L.";306822;693
"G";"hu-groep11";"Anthoxanthum odoratum L.";5264;460
"rbbVos";"hua-groep";"Anthoxanthum odoratum L.";5238;462
"rbbZil";"hu-groep";"Anthoxanthum odoratum L.";5699;477
"Hu";"hu-groep";"Anthoxanthum odoratum L.";6448;514
"Ha";"Lage grassen";"Anthoxanthum odoratum L.";6774;529
"G";"hpster grasland-groe";"Anthoxanthum odoratum L.";9695;583
"G";"hnk diff h(u)k-groep";"Anthoxanthum odoratum L.";294406;590
;;"Anthoxanthum odoratum L.";295479;599
"G";"hc diff zil-groep";"Anthoxanthum odoratum L.";295515;600
"G";"hm diff heide-groep";"Anthoxanthum odoratum L.";298084;611
"G";"hm_hmo-groep";"Anthoxanthum odoratum L.";298863;618
"H";"2330dw diff duin";"Anthoxanthum odoratum L.";299798;629
;;"Anthoxanthum odoratum L.";300094;634
"H";"grasland diff 23";"Anthoxanthum odoratum L.";300219;637
;;"Anthoxanthum odoratum L.";306908;692
;;"Anthoxanthum odoratum L.";306816;693
"G";"hu-groep11";"Anthriscus sylvestris (L.) Hoffmann";5261;460
"rbbZil";"hu-groep";"Anthriscus sylvestris (L.) Hoffmann";5700;477
"rbbHf";"Verdroging047";"Anthriscus sylvestris (L.) Hoffmann";6718;499
"Hu";"hu-groep";"Anthriscus sylvestris (L.) Hoffmann";6449;514
"Hu";"Verruiging128";"Anthriscus sylvestris (L.) Hoffmann";6527;519
"G";"verlatengrasland";"Anthriscus sylvestris (L.) Hoffmann";8547;560
"G";"hu-groep";"Anthriscus sylvestris (L.) Hoffmann";8749;566
"G";"vos diff hc";"Anthriscus sylvestris (L.) Hoffmann";9733;584
;;"Anthriscus sylvestris (L.) Hoffmann";295100;595
"M";"6430_verdroging";"Anthriscus sylvestris (L.) Hoffmann";306424;680
;"1";"Anthyllis vulneraria L.";8972;538
;"1";"Anthyllis vulneraria L.";8825;567
"G";"hk_uitgebreid-groep";"Anthyllis vulneraria L.";9313;579
"G";"eenjarigen-heide";"Aphanes arvensis L.";8351;553
"G";"ruderaal_ruim-groep";"Aphanes arvensis L.";294114;587
"G";"cg diff ce-groep";"Aphanes arvensis L.";303623;649
"G";"eenjarigen-heide";"Aphanes inexspectata W. Lippert";8352;553
"G";"ruderaal_ruim-groep";"Aphanes inexspectata W. Lippert";294115;587
"G";"cg diff ce-groep";"Aphanes inexspectata W. Lippert";303624;649
"G";"Obligaat freatofyt";"Apium inundatum (L.) Reichenb. f.";8091;550
;;"Apium inundatum (L.) Reichenb. f.";301316;647
