"soortnum";"wet_naam";"ned_naam";"aut_naam";"wet_naam_auteur";"lettcode";"familie";"genus";"soort";"syst_niv";"stlyst90";"flora_90";"status";"uhokn50";"uhokn80";"herkmst1";"herkmst2";"herkmst3";"ufk_40";"ufk_90";"uhokv50";"uhokv80";"lv_duur";"lv_vorm";"gr_vorm1";"gr_vorm2";"gr_vorm3";"anat_bld";"grn_bld";"vorm_bld";"hgt_min";"hgt_max";"hgt_extr";"gesl_blm";"blmkleur";"vr_type";"vr_kleur";"zaadmorf";"wrtldiep";"kiemtijd";"bgnbloei";"endbloei";"grondwtr";"lichtind";"temptind";"contiind";"vochtind";"zuurgind";"stiksind";"zout_ind";"zwareind";"maai_ind";"stro_min";"stro_max";"stro_ext";"oeco_grp";"ecol_grp";"transgr";"westhoff";"ellenbrg";"ecotp_01";"ecotp_02";"ecotp_03";"ecotp_04";"ecotp_05";"ecotp_06";"ecotp_07";"ecotp_08";"ecotp_09";"ecotp_10";"ecotpamp";"gebruik1";"gebruik2";"gebruik3";"gebruik4";"wett_bes";"redlist1";"redlist2";"bestuiv1";"bestuiv2";"bestuiv3";"zbestuiv";"plg_ligg";"plg_nord";"plg_west";"plg_midd";"plg_oost";"plg_z_o";"plg_zuid";"plg_fryk";"plg_amer";"plg_euro";"plg_azie";"plg_bron";"plg_noot";"plg_mont";"r_salinit";"r_alkalin";"r_dom_anio";"r_carbogeh";"r_trofiegr";"type";"selectie"
294;"Cerastium brachypetalum";"Kalkhoornbloem";"Persoon";"Cerastium brachypetalum Persoon";"CERASBRA";" 37";" 7";" 7";" 2";"0";"1";;"   1";"   0";;;;;;;;"1+8";"T";"64";;;"50";"W";"lw";"   5";"  35";;"C";"A";"43";"o";" 1";;;"5";" 7";"7";"9";"7";"4";" 3";"8";"2";"0";"0";;"9";"9";"9";"62";"605";;;"52120";;;;;;;;;;;;"99";;;;"0";;;"I";;;"Z";;;;;;;;;;;;;;;;;;;;"H";0
295;"Cerastium glomeratum";"Kluwenhoornbloem";"Thuillier";"Cerastium glomeratum Thuillier";"CERASGLO";" 37";" 7";" 6";" 2";"1";"1";"1";" 483";"1055";"  1";;;"7";"8";;;"1+8";"T";"65";;;"54";"W";"lw";"   5";"  45";;"C";"A";"43";"o";" 1";"11";"01";"4";" 6";"7";"7";"5";"3";" 5";"5";"5";"0";"0";;"9";"9";"9";"15";"306";;;"30000";"P68";;;;;;;;;;"1";"99";;;;"0";;;"I";;;"Z";"c";"1";"4";"4";"1";"4";"4";"A";".";"*";".";"235";"E";"mo";;;;;;"H";0
296;"Cerastium fontanum subsp. vulgare";"Gewone hoornbloem";"(Hartman) Greuter & Burdet";"Cerastium fontanum subsp. vulgare (Hartman) Greuter & Burdet";"CERASF-V";" 37";" 7";" 4";" 4";"1";"1";"1";"1657";"1592";"  1";;;"9";"9";;;"6";"C";"65";;;"40";"W";"lw";"   4";"  45";;"C";"A";"43";"o";" 1";"12";;"4";"13";"7";"6";"3";"4";" 5";"5";"5";"0";"0";"8";"9";"9";"9";"51";"611";;;"54240";"G47";"G48";"bG40";;;;;;;;"2";"99";;;;"0";;;"ID";;;"Z";;;;;;;;;;;;;;;;;;;;"H";3
297;"Cerastium pumilum";"Steenhoornbloem";"Curtis";"Cerastium pumilum Curtis";"CERASPUM";" 37";" 7";"10";" 2";"1";"1";"1";"   6";"  10";"  1";;;"2";"3";;;"1+8";"T";"64";;;"54";"S";"lw";"   1";"  20";;"C";"A";"43";"o";" 1";;"23/32";"4";" 5";"7";"8";"7";"4";" 2";"8";"2";"0";"0";;"9";"9";"9";"62";"605";"0";"20B";"52120";"P67";;;;;;;;;;"1";"99";;;;"0";;;"I";;;"Z";"s";"0";"3";"3";"+";"2";"2";"A";".";"*";".";"23";"C";"co";;;;;;"H";0
298;"Cerastium semidecandrum";"Zandhoornbloem";"L.";"Cerastium semidecandrum L.";"CERASSEM";" 37";" 7";" 8";" 2";"1";"1";"1";" 616";"1138";"  1";;;"7";"8";;;"1+8";"T";"65";;;"54";"S";"lw";"   2";"  20";;"C";"A";"43";"o";" 1";"11";"22";"3";" 5";"7";"8";"6";"3";" 3";"6";"X";"0";"0";;"9";"9";"9";"62";"603";;;"52000";"P62";"P63";"P67";;;;;;;;"2";"99";;;;"0";;;"I";;;"Z";"c";"+";"4";"4";"2";"2";"3";"A";".";"*";"*";"123";"X";"mo";;;;;;"H";0
299;"Ceratophyllum demersum";"Grof hoornblad";"L.";"Ceratophyllum demersum L.";"CERATDEM";" 39";" 1";" 2";" 2";"1";"1";"1";" 328";" 964";"  1";;;"7";"8";;;"6";"A";"11";;;"10";"S";"ly";"  60";"  90";;"A";"O";"32";"o";" 6";;;"6";" 9";"1";"6";"7";"X";"12*";"8";"8";"0";"0";;"1";"2";"0";"41";"  3";"4";"05Ba03";"14100";"W18p";;;;;;;;;;"1";"99";;;;"0";;;"H";;;;"s";"2";"4";"4";"4";"3";"2";"E";"*";"*";"*";"235";"X";"sm";"5";"5";"2";"4";"6";"H";0
300;"Ceratophyllum submersum";"Fijn hoornblad";"L.";"Ceratophyllum submersum L.";"CERATSUB";" 39";" 1";" 1";" 2";"1";"1";"1";"  77";" 101";"  1";;;"5";"5";;;"6";"A";"11";;;"10";"S";"ly";"  30";"  60";;"A";"O";"32";"o";" 1";;;"6";" 7";"1";"5";"8";"5";"12";"8";"7";"0";"0";;"1";"2";"0";"41";"  3";"0";"05Ba02";"14100";"W18";"bW10";;;;;;;;;"1";"99";;;;"0";;;"H";;;;"s";"0";"2";"3";"1";"1";"+";"A";".";"*";"*";"23";"C";"pl";"6";"6";"1";"5";"6";"H";0
301;"Ceterach officinarum";"Schubvaren";"Willdenow";"Ceterach officinarum Willdenow";"CETEROFF";"  8";" 2";" 1";" 2";"1";"1";"1";"   5";"   6";"  1";;;"2";"2";;;"6";"H";"63";;;"50";"I";"ve";"   5";"  20";;"E";"O";"11";"o";"11";;;"6";"10";"7";"8";"9";"3";" 3";"8";"2";"0";"0";;"9";"9";"9";"61";;"4";"07Ab03";"42000";"P60m";;;;;;;;;;"1";"99";;;;"0";"+";"4";"W";;;;"m";"0";"3";"2";"0";"2";"4";"A";".";"*";"*";"123";"M";"sa";;;;;;"H";0
302;"Chaerophyllum bulbosum";"Knolribzaad";"L.";"Chaerophyllum bulbosum L.";"CHAERBUL";" 83";" 4";" 2";" 2";"1";"1";"1";"   5";"  29";"  1";;;"2";"3";;;"2";"H";"65";;;"40";"S";"vs";"  60";" 180";;"C";"A";"41";"o";" 1";;"12";"6";" 7";"4";"7";"6";"5";" 7";"8";"8";"0";"0";"4";"9";"9";"9";"44";"505";;;"35210";"R28";"H28";;;;;;;;;"1";"99";;;;"0";;;"I";;;;"m";"2";"+";"3";"4";"3";"+";"A";".";"*";"*";"13";"B";"co";;;;;;"H";0
303;"Chaerophyllum temulum";"Dolle kervel";"L.";"Chaerophyllum temulum L.";"CHAERTEM";" 83";" 4";" 1";" 2";"1";"1";"1";" 688";" 750";"  1";;;"7";"8";;;"2";"H";"65";;;"30";"S";"vs";"  30";" 120";;"C";"A";"41";"o";" 1";;"12";"5";" 7";"7";"5";"6";"3";" 5";"X";"8";"0";"0";;"9";"9";"9";"82";"405";"0";"17Ab01";"35220";"H47";"H48";"H69";;;;;;;;"2";"99";;;;"0";;;"I1";;;;"s";"+";"4";"4";"2";"3";"3";"A";".";"*";".";"13";"I";"mo";;;;;;"H";0
304;"Erysimum cheiri";"Muurbloem";"(L.) Crantz";"Erysimum cheiri (L.) Crantz";"ERYSICHR";" 44";" 7";" 1";" 2";"1";"1";"17";"  28";"  10";"  1";;;"3";"2";;;"6";"C";"65";;;;;"lc";"  20";"  90";;"C";"F";"43";"o";" 9";;"12";"5";" 6";"7";"8";"8";"4";" 5";"9";"6";"0";"0";;"9";"9";"9";"61";"101";"0";"07Aa02";;"P60m";;;;;;;;;;"1";"30";;;;"0";;"1";"I";;;"Z";"m";;"3";"2";;"+";"4";"A";".";"*";"*";"6";"EM";"co";;;;;;"H";0
305;"Chelidonium majus";"Stinkende gouwe";"L.";"Chelidonium majus L.";"CHELIMAJ";" 43";" 3";" 1";" 2";"1";"1";"1";" 711";" 932";"  1";;;"8";"8";"  11";"   0";"6";"H";"65";;;"30";"S";"ve";"  30";"  90";;"C";"F";"43";"o";"10";;"12/22";"5";"13";"7";"6";"6";"X";" 5";"X";"8";"0";"0";;"9";"9";"9";"82";"405";"0";"17Ab01";"35110";"P47";"P67";"H47";"H69";;;;;;;"2";"16";;;;"0";;;"I1";;;"Z";"c";"1";"4";"4";"4";"4";"3";"A";".";"*";"*";"123";"E";"mo";;;;;;"H";0
306;"Chenopodium album";"Melganzevoet";"L.";"Chenopodium album L.";"CHENOALB";" 33";" 2";"13";" 2";"1";"1";"1";"1541";"1560";"  1";;;"9";"9";;;"1";"T";"65";;;"43";"W";"lw";"  15";" 120";;"C";"V";"32";"o";" 1";"44";"12";"7";"13";"7";"X";"X";"X";" 4";"X";"7";"0";"0";;"9";"9";"9";"15";"301";"0";"12";"33000";"P48";"P68";;;;;;;;;"1";"99";;;;"0";;;"W";;;;"c";"4";"4";"4";"4";"4";"4";"E";".";"*";"*";"235";"E";"al";;;;;;"H";0
307;"Chenopodium bonus-henricus";"Brave hendrik";"L.";"Chenopodium bonus-henricus L.";"CHENOBON";" 33";" 2";" 2";" 2";"1";"1";"1";"  75";"  29";"  1";;;"4";"1";;;"6";"H";"64";;;"40";"W";"ro";"  15";"  60";;"C";"V";"32";"o";" 1";;"01/02";"5";" 8";"7";"8";"X";"2";" 5";"X";"9";"0";"0";;"9";"9";"9";"17";"403";"0";"17Aa02";"33000";"P48";;;;;;;;;;"1";" 6";;;;"0";;"1";"W";;;;"s";"+";"3";"4";"1";"2";"2";"A";".";"*";".";"123";"EM";"al";;;;;;"H";0
308;"Chenopodium capitatum";"Aardbeispinazie";"(L.) Ascherson";"Chenopodium capitatum (L.) Ascherson";"CHENOCAP";" 33";" 2";"14";" 2";"0";"0";"2";;;"105";;;;;;;"1";"T";"65";;;;"S";"ro";"  15";"  60";;"C";"O";"32";"r";" 1";;;"6";" 8";"7";;;;;;;;;;"9";"9";"9";"15";;"0";"12Ba";;;;;;;;;;;;;" 6";;;;"0";;;"I";;;;;;;;;;;;;;;;;"mo";;;;;;"H";0
309;"Chenopodium botryodes";"Beursjesganzevoet";"J.E.Smith";"Chenopodium botryodes J.E.Smith";"CHENOBOT";" 33";" 2";" 7";" 2";"0";"1";;"  16";"   0";;;;;;;;"1";"T";"65";;;"40";"S";"ro";"   5";"  40";;"C";"V";"32";"o";" 1";;"12";"7";" 9";"7";"8";"X";"X";" 6";"X";"9";"1";"0";;"9";"9";"9";"22";"311";;;"33000";;;;;;;;;;;;"99";;;;"0";;;"W";;;;;;;;;;;;;;;;;"pl";;;;;;"H";0
310;"Chenopodium ficifolium";"Stippelganzevoet";"J.E.Smith";"Chenopodium ficifolium J.E.Smith";"CHENOFIC";" 33";" 2";"12";" 2";"1";"1";"1";" 277";" 807";"  1";;;"6";"8";;;"1";"T";"65";;;"40";"S";"ha";"  30";"  90";;"C";"V";"32";"o";" 1";;"12";"7";" 9";"7";"7";"7";"7";" 6";"X";"7";"0";"0";;"9";"9";"9";"15";"311";"0";"12Ba01";"33000";"P48";"P68";;;;;;;;;"1";"99";;;;"0";;;"W";;;;"s";"0";"2";"3";"+";"2";"+";"A";".";"*";".";"2";"E";"co";;;;;;"H";0
311;"Chenopodium foliosum";"Rode aardbeispinazie";"Ascherson";"Chenopodium foliosum Ascherson";"CHENOFOL";" 33";" 2";" 1";" 2";"1";"1";"32";"   8";"  14";"105";;;"2";"3";;;"1";"TH";"64";;;;;"lw";"  15";"  60";;"C";"V";"32";"r";" 1";;"12";"6";" 8";"7";"8";"X";"8";" 4";"7";"8";"0";"0";;"9";"9";"9";"16";"305";"0";"12Ba06";;"P63r";;;;;;;;;;"1";" 6";;;;"0";;;"I";;;;"m";"+";"1";"2";"3";"3";"+";"A";".";"*";"*";"23";"CEH";"co";;;;;;"H";0
312;"Chenopodium glaucum";"Zeegroene ganzevoet";"L.";"Chenopodium glaucum L.";"CHENOGLA";" 33";" 2";" 8";" 2";"1";"1";"1";" 201";" 576";"  1";;;"6";"7";;;"1";"T";"65";;;"40";"S";"ha";"  10";"  50";;"C";"V";"32";"o";" 1";"13";"12";"6";"13";"9";"8";"6";"7";" 6";"X";"9";"3";"0";;"9";"9";"9";"22";"311";"0";"11Ab";"32120";"P28";"P48";;;;;;;;;"1";"99";;;;"0";;;"W";;;;"s";"1";"3";"4";"4";"4";"+";"E";"*";"*";"*";"1235";"E";"co";;;;;;"H";0
313;"Chenopodium hybridum";"Esdoornganzevoet";"L.";"Chenopodium hybridum L.";"CHENOHYB";" 33";" 2";"10";" 2";"1";"1";"1";"  62";"  78";"  1";;;"4";"4";;;"1";"T";"65";;;"40";"S";"ha";"  30";"  90";;"C";"V";"32";"o";" 1";"44";"12";"7";" 9";"7";"7";"6";"7";" 5";"8";"8";"0";"0";;"9";"9";"9";"15";"301";"3";"12Aa";"33000";"P48";;;;;;;;;;"1";"99";;;;"0";;"3";"W";;;;"s";"+";"3";"4";"4";"3";"1";"A";"*";"*";"*";"1235";"EM";"mo";;;;;;"H";0
314;"Chenopodium murale";"Muurganzevoet";"L.";"Chenopodium murale L.";"CHENOMUR";" 33";" 2";"11";" 2";"1";"1";"1";" 109";"  48";"  1";;;"5";"4";;;"1";"T";"65";;;"40";"S";"ro";"  15";"  45";;"C";"V";"32";"o";" 1";;"01";"7";"10";"7";"8";"7";"6";" 4";"8";"9";"0";"0";;"9";"9";"9";"16";"311";"0";"12Ba01";"33000";"P63r";;;;;;;;;;"1";"99";;;;"0";;"3";"W";;;;"s";"+";"3";"4";"1";"3";"3";"A";".";"*";"*";"235";"EM";"mo";;;;;;"H";0
315;"Chenopodium polyspermum";"Korrelganzevoet";"L.";"Chenopodium polyspermum L.";"CHENOPOL";" 33";" 2";" 5";" 2";"1";"1";"1";" 463";" 983";"  1";;;"7";"8";;;"1";"T";"65";;;"30";"S";"ro";"  10";"  80";;"C";"V";"32";"o";" 1";"33";"12";"7";" 9";"7";"6";"6";"4";" 6";"X";"8";"0";"0";;"9";"9";"9";"11";"301";"0";"12Aa04";"33100";"P28";"P48";"bP40";;;;;;;;"2";"99";;;;"0";;;"W";;;;"s";"1";"3";"4";"4";"4";"2";"A";".";"*";"*";"123";"E";"mo";;;;;;"H";0
316;"Chenopodium rubrum";"Rode ganzevoet";"L.";"Chenopodium rubrum L.";"CHENORUB";" 33";" 2";" 6";" 2";"1";"1";"1";" 526";"1073";"  1";;;"7";"8";;;"1";"T";"65";;;"40";"S";"lw";"  15";" 100";;"C";"V";"32";"o";" 1";;"12";"7";"13";"9";"8";"X";"X";" 6";"X";"9";"1";"0";;"9";"9";"9";"22";"311";"2";"11Ab02";"33000";"P28";"P48";"bP40";;;;;;;;"2";"99";;;;"0";;;"W";;;;"s";"1";"3";"4";"4";"3";"1";"A";"*";"*";"*";"235";"X";"sa";;;;;;"H";0
318;"Chenopodium vulvaria";"Stinkende ganzevoet";"L.";"Chenopodium vulvaria L.";"CHENOVUL";" 33";" 2";" 9";" 2";"1";"1";"12";"  11";"   2";"  2";;;"2";"1";;;"1";"T";"65";;;"40";"S";"ro";"  15";"  30";;"C";"V";"32";"o";" 1";;"12";"7";" 9";"7";"7";"7";"4";" 4";"7";"9";"0";"0";;"9";"9";"9";"15";"311";"0";"12Ba";"33000";"P48";;;;;;;;;;"1";"99";;;;"0";"+";"1";"W";;;;"m";"+";"2";"4";"1";"3";"4";"A";".";"*";"*";"123";"M";"co";;;;;;"H";0
319;"Leucanthemum vulgare";"Margriet";"Lamk.";"Leucanthemum vulgare Lamk.";"LEUCAVUL";"113";"27";" 1";" 2";"1";"1";"1";"1200";"1091";"  1";;;"8";"8";;;"6";"H";"65";;;"45";"W";"ve";"  30";"  60";;"D";"A";"32";"o";" 1";"44";"23";" 5";" 8";"7";"7";"X";"3";" 4";"X";"3";"0";"0";"6";"9";"9";"9";"51";"613";"3";"25Ba";"54200";"G47";"G67";;;;;;;;;"1";"99";;;;"0";;;"I*";;;"Z";"c";"3";"4";"4";"4";"3";"3";"A";".";"*";"*";"35";"X";"al";;;;;;"H";0
320;"Tanacetum parthenium";"Moederkruid";"(L.) Schultz-Bip.";"Tanacetum parthenium (L.) Schultz-Bip.";"TANACPAR";"113";"26";" 2";" 2";"1";"1";"37";" 185";" 539";"109";"210";;"5";"7";;;"6";"H";"65";;;;;"ve";"  30";"  60";;"D";"A+F";"32";"o";" 1";;"12   ?";"6";" 9";"7";;;;;;;;;;"9";"9";"9";"15";"305";;;;"P48";"R48";;;;;;;;;"1";"99";;;;"0";;;"ID";"IH";;"Z";"s";"0";"4";"4";"3";"4";"4";"A";".";"*";".";"6";"D";"mo";;;;;;"H";0
321;"Chrysanthemum segetum";"Gele ganzebloem";"L.";"Chrysanthemum segetum L.";"CHRYSSEG";"113";"25";" 1";" 2";"1";"1";"1";" 533";" 540";"  1";;;"7";"7";;;"1";"T";"65";;;"43";"S";"ve";"  30";"  60";;"D";"F";"32";"o";" 1";;"12";"6";"13";"7";"7";"6";"2";" 5";"5";"5";"0";"0";;"9";"9";"9";"13";"302";"0";"12Aa01";"33120";"P47";;;;;;;;;;"1";"99";;;;"0";;;"I*";;;"Z";"c";"1";"4";"3";"1";"1";"4";"A";".";"*";".";"3";"E";"sm";;;;;;"H";0
322;"Chrysosplenium alternifolium";"Verspreidbladig goudveil";"L.";"Chrysosplenium alternifolium L.";"CHRYPALT";" 48";" 2";" 1";" 2";"1";"1";"1";"  59";"  48";"  1";;;"4";"4";;;"6";"H";"64";;;"23";"S";"ro";"   5";"  15";;"C";"F";"43";"o";" 1";;"12";"3";" 5";"3";"4";"4";"5";" 8=";"7";"5";"0";"0";;"9";"9";"9";"91";"506";"0";"26Aa04";"84330";"H22";;;;;;;;;;"1";"99";;;;"0";;"3";"I";;;;"c";"3";"2";"4";"4";"2";"+";"A";"*";"*";"*";"135";"HM";"al";;;;;;"H";0
323;"Chrysosplenium oppositifolium";"Paarbladig goudveil";"L.";"Chrysosplenium oppositifolium L.";"CHRYPOPP";" 48";" 2";" 2";" 2";"1";"1";"1";"  42";"  44";"  1";;;"4";"4";;;"6";"HC";"61";;;"23";"W";"ro";"   5";"  10";;"C";"F:V";"43";"o";" 1";;"13/21";"4";" 5";"2";"6";"5";"2";" 9=";"5";"5";"0";"0";;"9";"9";"9";"91";"506";"0";"26Aa''";"16110";"H22";;;;;;;;;;"1";"99";;;;"0";;"4";"I";;;;"s";"0";"4";"2";"+";"0";"0";"A";".";"*";".";"13";"HM";"mo";;;;;;"H";0
324;"Cicendia filiformis";"Draadgentiaan";"(L.) Delarbre";"Cicendia filiformis (L.) Delarbre";"CICENFIL";" 90";" 1";" 1";" 2";"1";"1";"1";" 172";"  19";"  1";;;"5";"2";;;"1";"T";"65";;;"20";"S";"lc";"   2";"  15";;"C";"F";"43";"o";" 1";;"22";"7";"10";"4";"9";"7";"2";" 8=";"3";"2";"1";"0";;"9";"9";"9";"23";"308";"0";"10Aa01";"31110";"P22";;;;;;;;;;"1";"99";;;;"0";"+";"1";"I";;;"Z";"s";"0";"2";"1";"0";"1";"1";"A";".";"*";".";"3";"M";"mo";;;;;;"H";0
325;"Cichorium intybus";"Wilde cichorei";"L.";"Cichorium intybus L.";"CICHOINT";"113";"46";" 1";" 2";"1";"1";"14";" 356";" 534";"  1";;;"6";"6";;;"6";"H";"65";;;"50";"S";"ve";"  15";" 120";;"C";"C";"32";"o";" 1";;"12   ?";"7";" 8";"7";"9";"6";"5";" 4";"8";"5";"0";"0";"4";"9";"9";"9";"51";"612";"0";"16Aa02";"33420";"G47k";"G48";;;;;;;;;"1";" 6";"15";"16";"27";"0";;;"IH";;;"Z";"c";"2";"4";"4";"4";"4";"4";"A";".";"*";"*";"35";"E";"mo";;;;;;"H";0
326;"Cicuta virosa";"Waterscheerling";"L.";"Cicuta virosa L.";"CICUTVIR";" 83";"27";" 1";" 2";"1";"1";"1";" 387";" 472";"  1";;;"6";"7";;;"6";"B";"65";;;"20";"S";"vm";"  60";" 120";"200";"C";"A";"41";"o";" 1";;"22";"6";" 8";"2";"7";"6";"7";" 9=";"5";"5";"0";"0";"3";"1";"2";"0";"43";"503";"0";"19Ac";"15140";"V17";;;;;;;;;;"1";"99";;;;"0";;;"ID";"IH";;;"s";"3";"2";"4";"4";"2";"+";"A";".";"*";"*";"135";"X";"mo";"4";"4";"1";;;"H";0
327;"Circaea alpina";"Alpenheksenkruid";"L.";"Circaea alpina L.";"CIRCAALP";" 78";" 1";" 1";" 2";"1";"1";"1";"   1";"   1";"  1";;;"1";"1";;;"6";"G";"65";;;"30";"S";"lw";"   5";"  30";;"C";"A/R";"32";"o";;;"21";"7";" 8";"3";"4";"4";"4";" 7";"5";"5";"0";"0";;"9";"9";"9";"91";"908";"0";"38Aa";"84300";"H42";;;;;;;;;;"1";"99";;;;"0";;"4";"ID";;;"Z";"v";"2";"1";"4";"3";"1";"0";"A";"*";"*";"*";"135";"HM";"sa";;;;;;"H";0
328;"Circaea x intermedia";"Klein heksenkruid";"Ehrhart";"Circaea x intermedia Ehrhart";"CIRCA*IN";" 78";" 1";" 2";" 8";"1";"1";"1";"   3";"   1";"  1";;;"1";"1";;;"6";"G";"65";;;"30";"S";"lw";"  15";"  40";;"C";"A-R";"32";"o";;;"12   ?";"6";" 7";"3";"4";"5";"2";" 7";"7";"6";"0";"0";;"9";"9";"9";"91";"908";"0";"38Aa01";"84330";"H42";;;;;;;;;;"1";"99";;;;"0";;"4";"ID";;;;;;;;;;;;;;;;;;;;;;;"H";0
329;"Circaea lutetiana";"Groot heksenkruid";"L.";"Circaea lutetiana L.";"CIRCALUT";" 78";" 1";" 3";" 2";"1";"1";"1";" 178";" 275";"  1";;;"5";"6";;;"6";"G";"65";;;"30";"S";"lw";"  20";"  70";;"C";"A-R";"32";"o";" 1";"11";"13";"6";" 9";"4";"4";"5";"3";" 6";"7";"7";"0";"0";;"9";"9";"9";"91";"907";"0";"38Aa";"84300";"H27";"H47";;;;;;;;;"1";"99";;;;"0";;;"ID";;;"Z";"s";"+";"4";"4";"3";"3";"2";"A";".";"*";"*";"135";"X";"mo";;;;;;"H";0
330;"Cirsium acaule";"Aarddistel";"Scopoli";"Cirsium acaule Scopoli";"CIRSIACA";"113";"40";" 4";" 2";"1";"1";"1";"  15";"  10";"  1";;;"3";"2";;;"6";"H";"63";;;"54";"S";"ve";"   5";"  10";" 30";"C";"P:R";"32";"o";" 8";"24";"32";"7";" 9";"7";"9";"5";"4";" 3";"8";"2";"0";"0";"3";"9";"9";"9";"63";"608";"0";"21Aa01";"53213";"G43";"G63";;;;;;;;;"1";"99";;;;"0";;"1";"IH";"IL";;"Z";"m";"0";"2";"3";"0";"1";"1";"A";".";"*";".";"3";"BM";"al";;;;;;"H";0
331;"Cirsium arvense";"Akkerdistel";"(L.) Scopoli";"Cirsium arvense (L.) Scopoli";"CIRSIARV";"113";"40";" 8";" 2";"1";"1";"1";"1646";"1616";"  1";;;"9";"9";;;"6";"G";"64";;;"45";"S";"ve";"  60";" 120";;"B";"P";"32";"o";" 8";"55";"13";"6";" 9";"7";"8";"5";"X";"X";"X";"7";"1";"0";"5";"9";"9";"9";"17";"305";;;"30000";"P48";"R48";"bR40";"R68";;;;;;;"2";"30";;;;"0";;;"I*";;;"Z";"c";"3";"4";"4";"4";"4";"4";"A";".";"*";"*";"3";"BE";"sa";;;;;;"H";0
332;"Cirsium dissectum";"Spaanse ruiter";"(L.) Hill";"Cirsium dissectum (L.) Hill";"CIRSIDIS";"113";"40";" 5";" 2";"1";"1";"1";" 335";" 224";"  1";;;"6";"5";;;"6";"H";"65";;;"24";"S";"lw";"  20";"  50";"100";"C";"P:R";"32";"o";" 8";;"23/32";"6";" 7";"2";"7";"7";"1";" 8";"4";"2";"0";"0";;"9";"9";"9";"73";"616";"0";"25Ac01";"54110";"G22";;;;;;;;;;"1";"99";;;;"1";"+";"2";"I2";;;"Z";"s";"0";"3";"0";"0";"0";"0";"A";".";"*";".";"6";"M";"co";;;;;;"H";0
333;"Cirsium eriophorum";"Wollige distel";"(L.) Scopoli";"Cirsium eriophorum (L.) Scopoli";"CIRSIERI";"113";"40";" 3";" 2";"1";"1";"1";"   2";"   1";"  1";;;"1";"1";;;"2";"H";"65";;;"50";"S";"ve";"  60";" 120";;"C";"R:P";"32";"o";" 8";;"32";"7";" 8";"7";"8";"X";"3";" 4";"9";"5";"0";"0";"3";"9";"9";"9";"51";"612";;;"33410";"R47";;;;;;;;;;"1";"99";;;;"0";"+";"4";"IH";"IL";;"Z";"m";"0";"2";"3";"0";"1";"+";"A";".";"*";".";"6";"BM";"sa";;;;;;"H";0
334;"Cirsium oleraceum";"Moesdistel";"(L.) Scopoli";"Cirsium oleraceum (L.) Scopoli";"CIRSIOLE";"113";"40";" 1";" 2";"1";"1";"1";"  28";"  30";"  1";;;"3";"3";;;"6";"H";"65";;;"32";"S";"ve";"  60";" 150";;"C";"A:F";"32";"o";" 8";"55";"01";"6";" 9";"2";"6";"X";"3";" 7";"8";"5";"0";"0";"5";"9";"9";"9";"52";"614";"0";"25A";"54150";"R27";"H27";;;;;;;;;"1";"99";;;;"0";"+";"4";"IH";"IL";;"Z";"m";"1";"1";"4";"3";"1";"+";"A";".";"*";"*";"3";"M";"sa";;;;;;"H";1
335;"Cirsium palustre";"Kale jonker";"(L.) Scopoli";"Cirsium palustre (L.) Scopoli";"CIRSIPAL";"113";"40";" 7";" 2";"1";"1";"1";"1280";"1269";"  1";;;"9";"9";;;"2";"H";"64";;;"42";"S";"ve";"  60";" 150";;"C";"P:R";"32";"o";" 8";"24";"12";"6";" 9";"4";"7";"5";"3";" 8";"4";"3";"0";"0";"3";"9";"9";"9";"52";"615";"0";"25A";"54100";"G27";"H22";"H27";;;;;;;;"2";"99";;;;"0";;;"I2";;;"Z";"c";"3";"4";"4";"4";"1";"1";"A";".";"*";"*";"34";"X";"mo";;;;;;"H";0
336;"Cirsium vulgare";"Speerdistel";"(Savi) Tenore";"Cirsium vulgare (Savi) Tenore";"CIRSIVUL";"113";"40";" 2";" 2";"1";"1";"1";"1428";"1554";"  1";;;"9";"9";;;"2";"H";"65";;;"40";"S";"ve";"  60";" 120";;"C";"P";"32";"o";" 8";;"32/12";"7";" 8";"7";"8";"5";"3";" 5";"7";"8";"0";"0";"4";"9";"9";"9";"15";"305";"0";"17A";"35100";"R48";;;;;;;;;;"1";"99";;;;"0";;;"IH";"IL";;"Z";"c";"2";"4";"4";"4";"4";"4";"A";".";"*";"*";"3";"E";"mo";;;;;;"H";0
337;"Cladium mariscus";"Galigaan";"(L.) Pohl";"Cladium mariscus (L.) Pohl";"CLADIMAR";"131";" 5";" 1";" 2";"1";"1";"1";" 123";" 104";"  1";;;"5";"5";;;"6";"HB";"52";;;"25";"W";"ly";"  90";" 180";;"C";"O";"32";"o";" 1";"33";"22";"6";" 7";"2";"9";"6";"3";"10";"9";"3";"0";"0";;"1";"1";"0";"43";"703";"0";"19Ca01";"15140";"R27";"V17";;;;;;;;;"1";"99";;;;"0";;"3";"W";;;;"s";"+";"3";"2";"1";"2";"3";"E";"*";"*";"*";"134";"KM";"sm";"3";"3";"4";"1";;"H";0
