"BRC_num";"taxon_name";"ML";"ord";"len";"stat";"lf1";"per";"lf2";"gem";"tub";"bra";"bul";"lvs";"fr";"sex";"spbeg";"spbeg2";"spend";"sp1";"spend2";"e";"sp2";"sc";"w";"ir";"ci";"ni";"elem";"gbno";"cino";"irno";"tjan";"prec";"tjul";"alt";"f_indicatie";"l_indicatie";"n_indicatie";"r_indicatie";"hm_indicatie";"s_indicatie";"rh";"rs";"rw";"so";"sr";"gs";"pt";"dv";"dw";"br";"da";"en";"aq";"ew";"a2";"b1";"b2";"b3";"c1";"c2";"c3";"d1";"d2";"d4";"e1";"e2";"e3";"e4";"e7";"f3";"f4";"f9";"fa";"g1";"g1r";"g3";"g3r";"h2";"h3";"h5";"i1";"i2";"j1";"j2";"j3";"id";"j4"
"0820   205";"Dicranum polysetum";"M";"Dicr";133,00;"N";"Tuft";"P";"Tf";;;;;;"X";"D";;;;15,00;;"E";27,00;"S";"W";;;;46,00;42,00;;;3,20;779,00;15,30;110,00;5,00;5,00;2,00;3,00;0,00;0,00;;;;3,00;;;3,00;;;;;;;;;;;;;;;"3";;;;;;;;;3,00;;;3,00;;"3";;;;;;;;;;315;
"0820   206";"Dicranum scoparium";"M";"Dicr";90,00;"N";"Tuft";"P";"Tf";;;;;;"O";"D";12,00;;3,00;12,00;;"E";22,00;"S";"W";"IR";"CI";"NI";36,00;2176,00;2,00;376,00;3,40;1150,00;14,40;1220,00;5,00;6,00;2,00;3,00;2,00;0,00;3,00;;;3,00;3,00;3,00;3,00;"2";3,00;3,00;;;;3,00;"1";"3";"3";3,00;;;;"3";"3";;3,00;;;"3";"3";"3";3,00;"3";"3";3,00;;"3";;3,00;3,00;;;3,00;;"3";3,00;316;
"0820   207";"Dicranum scottianum";"M";"Dicr";75,00;"N";"Cu";"P";"";;;;;;"O";"D";4,00;;7,00;25,00;;"E";30,00;"S";"W";"IR";"CI";"NI";80,00;195,00;1,00;59,00;3,50;1672,00;13,50;430,00;5,00;3,00;2,00;3,00;0,00;0,00;3,00;"2";;;2,00;;;;;;;;;1,00;;;;3,00;;;;;;;;;;;;;;;;3,00;;;;3,00;3,00;;;;;;;317;
"0820   208";"Dicranum spurium";"M";"Dicr";67,00;"N";"Tuft";"P";"";;;;;;"R";"D";;;;14,00;;"E";24,00;"S";;;;;43,00;45,00;;;2,70;910,00;14,80;490,00;5,00;6,00;2,00;2,00;0,00;0,00;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;318;
"0820   675";"Dicranum subporodictyon";"M";"Dicr";50,00;"N";"Cu";"P";"";;;;;;"Nil";"D";;;;;;;;"S";;;;;70,00;6,00;;;1,60;2761,00;11,60;250,00;8,00;7,00;1,00;2,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;"2";;;3,00;;;;;;;319;
"0820   210";"Dicranum tauricum";"M";"Dicr";40,00;"N";"Tuft";"P";"Tf";;;;;"F";"R";"D";;;;14,00;;"E";18,00;"S";"W";;;;73,00;347,00;;;3,20;823,00;15,40;450,00;4,00;4,00;3,00;3,00;0,00;0,00;1,00;;;;;;;;3,00;;;;;3,00;;;;;;;;;;;;;;;;;;;;3,00;;"1";;;2,00;;;;;;;320;
"0820    44";"Didymodon acutus";"M";"Pott";20,00;"N";"Tf";"P";"Ts";;;;;;"R";"D";;;;9,00;;"E";12,00;"S";"W";"IR";"(CI)";"(NI)";86,00;73,00;;4,00;4,00;901,00;15,60;600,00;3,00;8,00;2,00;8,00;1,00;0,00;2,00;;;3,00;3,00;3,00;;;;;;;;;;"3";;;;;;;;;3,00;;;;;;;;;;;;;;2,00;3,00;;;;"1";3,00;321;"1"
"0820    46";"Didymodon cordatus";"M";"Pott";10,00;"N";"Tf";"P";"";"F";;;;;"Nil";"D";;;;;;"E";;;;;;;83,00;1,00;;;5,90;1092,00;16,00;70,00;2,00;9,00;4,00;7,00;0,00;0,00;;"3";;;;3,00;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;322;
"0820    48";"Didymodon fallax";"M";"Pott";15,00;"N";"Tf";"P";"";;;;;;"O";"D";11,00;;3,00;12,00;;"E";16,00;"S";"W";"IR";"CI";"NI";86,00;1570,00;2,00;222,00;3,60;1034,00;14,80;580,00;4,00;7,00;3,00;7,00;2,00;0,00;;;"1";3,00;3,00;3,00;;;;;;;;;"2";"3";;3,00;;;;;;;3,00;;;;;;;;;;2,00;;;;3,00;3,00;;;;"3";3,00;323;"1"
"0820    55";"Didymodon ferrugineus";"M";"Pott";25,00;"N";"Tf";"P";"";;;;;;"X";"D";;;;;;"E";;"S";"W";"IR";;"NI";53,00;186,00;;55,00;3,30;1241,00;14,10;785,00;4,00;7,00;3,00;8,00;0,00;0,00;;;"1";3,00;3,00;3,00;;;;;;;;;;"3";;;;;;;;"1";2,00;;;;;;;;;2,00;;;;3,00;3,00;3,00;;;;"2";3,00;324;
"0820    50";"Didymodon glaucus";"M";"Pott";3,00;"N";"Tf";"P";"";"F";;;;;"Nil";"D";;;;;;"E";;;;;;;73,00;1,00;;;3,30;767,00;15,90;185,00;5,00;3,00;2,00;9,00;0,00;0,00;;"3";;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;;1,00;325;
"0820    52";"Didymodon icmadophilus";"M";"Pott";20,00;"N";"Tf";"P";"";;;;;;"X";"D";;;;10,00;;"E";13,00;"S";;"(IR)";;;26,00;10,00;;;1,00;1988,00;11,50;610,00;6,00;7,00;2,00;7,00;0,00;0,00;;"3";;2,00;;;;;;;;;;;;;;;;;;;;;1,00;;;;;;;;;;;;;;3,00;;;;;;;326;
"0820    47";"Didymodon insulanus";"M";"Pott";50,00;"N";"Tf";"PA";"";;"R";;;;"R";"D";7,00;;7,00;8,00;;"E";13,00;"S";"W";"IR";"CI";"NI";85,00;1753,00;3,00;214,00;3,60;1028,00;14,80;580,00;5,00;6,00;4,00;6,00;2,00;0,00;3,00;;"3";3,00;3,00;3,00;;;1,00;;;;;3,00;;"3";;;;;3,00;;;;;;;;"3";"3";;;"3";1,00;3,00;;;;3,00;3,00;2,00;3,00;"3";"3";3,00;327;"3"
"0820    61";"Didymodon luridus";"M";"Pott";30,00;"N";"Tf";"P";"";;;;;;"O";"D";3,00;;3,00;12,00;;"E";16,00;"S";"W";"IR";"CI";"NI";92,00;809,00;1,00;19,00;3,90;850,00;15,70;510,00;4,00;4,00;4,00;8,00;0,00;0,00;3,00;"3";"3";3,00;3,00;;;;;;;;;2,00;;;;;;;3,00;;;;;;;;"2";;;;"2";2,00;;;;;3,00;3,00;;;;"3";2,00;328;"3"
"0820    55.2";"Didymodon maximus";"M";"Pott";80,00;"N";"Tf";"P";"";;;;;;"Nil";"Nil";;;;;;;;;;"IR";;;70,00;;;5,00;3,30;1344,00;13,70;490,00;8,00;6,00;2,00;9,00;0,00;0,00;;;;3,00;3,00;;;;;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;;;3,00;;;;;;;329;
"0820    53";"Didymodon nicholsonii";"M";"Pott";20,00;"N";"Tf";"P";"";;"X";;;;"R";"D";;;;8,00;;"E";15,00;"S";"W";"IR";;"NI";72,00;294,00;;13,00;4,20;993,00;15,60;370,00;5,00;6,00;4,00;7,00;0,00;0,00;3,00;;"3";;;3,00;;;2,00;;;;;3,00;;;;;;;3,00;;;;;;;;;;;;;;;;;;;3,00;;;;"3";;330;"3"
"0820    57";"Didymodon rigidulus";"M";"Pott";10,00;"N";"Tuft";"P";"Tf";"F";;;;;"O";"D";2,00;;5,00;10,00;;"E";12,00;"S";"W";"IR";"CI";"NI";56,00;1388,00;1,00;148,00;3,50;1086,00;14,80;841,00;4,00;5,00;4,00;8,00;1,00;0,00;3,00;;"3";;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;"3";"3";;331;"1"
"0820   627";"Didymodon sinuosus";"M";"Pott";20,00;"N";"Tf";"P";"";;;;;"F";"Nil";"D";;;;;;"E";;"S";"W";"IR";"CI";"NI";92,00;717,00;1,00;39,00;3,80;849,00;15,80;300,00;6,00;4,00;5,00;7,00;0,00;0,00;3,00;;"3";;;;;;;;;;;3,00;;;;;;;3,00;;;;;;;;"3";;;;"3";2,00;;;;;3,00;;;;"3";"3";;332;
"0820    59";"Didymodon spadiceus";"M";"Pott";30,00;"N";"Tf";"P";"";;;;;;"O";"D";12,00;;1,00;10,00;;"E";16,00;"S";"W";"IR";;"NI";73,00;206,00;;18,00;2,50;1209,00;13,60;580,00;7,00;6,00;4,00;7,00;0,00;0,00;3,00;;;;;3,00;;;;;;;;3,00;;;;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;;;333;
"0820  1032";"Didymodon tomaculosus";"M";"Pott";6,00;"NA";"Ts";"AP";"Tf";;"F";;;;"Nil";"D";;;;;;"E";;;"W";"IR";;;72,00;17,00;;5,00;4,30;872,00;15,50;150,00;6,00;8,00;5,00;6,00;0,00;0,00;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;1,00;;;;;;;;;;;;;;3,00;;;;;334;
"0820    60";"Didymodon tophaceus";"M";"Pott";50,00;"N";"Tf";"P";"";"O";"R";;;;"F";"D";11,00;;6,00;12,00;;"E";16,00;"S";"W";"IR";"CI";"NI";83,00;1099,00;3,00;86,00;3,80;970,00;15,10;580,00;8,00;5,00;4,00;8,00;2,00;0,00;;"3";"3";3,00;3,00;3,00;;;;;;;;;"1";"3";;3,00;;;3,00;;;"3";;;;;;;;;;;;;;;3,00;3,00;;;;"3";3,00;335;
"0820  1046";"Didymodon umbrosus";"M";"Pott";10,00;"AN";"Tf";"P";"";;"F";;;;"X";"D";;;;11,00;;"E";15,00;;"W";"IR";;;81,00;64,00;;1,00;4,00;728,00;16,20;60,00;6,00;3,00;5,00;8,00;0,00;0,00;;;"3";2,00;;;;;;;;;;;;;;;;;;;;;;;;;;"1";;;;;;;;;;2,00;;;;"3";3,00;336;
"0820    63";"Didymodon vinealis";"M";"Pott";20,00;"N";"Tuft";"P";"Tf";;;;;;"R";"D";;;;8,00;;"E";15,00;"S";"W";"IR";"CI";"NI";83,00;818,00;2,00;21,00;3,80;803,00;15,80;320,00;3,00;6,00;4,00;8,00;0,00;0,00;3,00;"3";"3";3,00;3,00;3,00;;;;;;;;1,00;;"3";;;;;;;;;3,00;;;;;;;;;;;;;;3,00;3,00;;;"3";"3";2,00;337;"2"
"0820   211";"Diphyscium foliosum";"M";"Diph";5,00;"N";"Tf";"P";"";;;;;;"F";"D";6,00;;7,00;8,00;;"E";13,00;"S";"W";"IR";;"NI";53,00;464,00;;45,00;2,70;1724,00;13,10;1205,00;5,00;5,00;1,00;3,00;0,00;0,00;3,00;;;3,00;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;2,00;;"2";3,00;;;;3,00;3,00;3,00;;;;"1";;338;
"0810   747";"Diplophyllum albicans";"L";"Jung";60,00;"N";"Ms";"P";"We";"F";;;;;"F";"D";2,00;;7,00;11,00;;"E";15,00;"S";"W";"IR";"CI";"NI";52,00;1561,00;6,00;281,00;3,30;1286,00;14,00;1340,00;6,00;5,00;1,00;2,00;3,00;0,00;3,00;;;3,00;3,00;3,00;3,00;"2";2,00;2,00;;;;2,00;;;;3,00;;;;"3";"3";;;;;"3";;;3,00;;;3,00;;"3";;3,00;3,00;3,00;;;;"3";3,00;339;
"0810   748";"Diplophyllum obtusifolium";"L";"Jung";10,00;"N";"Ms";"P";"";"F";;;;;"A";"M";2,00;;9,00;8,00;;"E";12,00;"S";"W";"IR";;"(NI)";56,00;130,00;;8,00;3,20;1399,00;14,20;480,00;6,00;6,00;1,00;2,00;0,00;0,00;;;;3,00;;3,00;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;1,00;;"3";;3,00;3,00;;;;;3,00;340;
"0810   749";"Diplophyllum taxifolium";"L";"Jung";25,00;"N";"Ms";"P";"";"F";;;;;"X";"D";;;;13,00;;"(E)";15,00;"S";"(W)";;;;26,00;31,00;;;-0,50;2006,00;10,70;1130,00;6,00;6,00;1,00;2,00;0,00;0,00;3,00;;;3,00;;3,00;;;;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;;3,00;3,00;;;;;;;341;
"0820   212";"Discelium nudum";"M";"Funa";2,00;"N";"Tp";"A";"";;"F";;;;"A";"M";;;;20,00;;"E";24,00;"S";"W";"IR";;"NI";46,00;89,00;;2,00;2,40;1208,00;14,10;520,00;6,00;7,00;3,00;3,00;0,00;0,00;;;;3,00;;;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;1,00;;;;;2,00;;;;;2,00;342;
"0820   213";"Distichium capillaceum";"M";"Dicr";63,00;"N";"Tuft";"P";"";;;;;;"F";"M";8,00;;8,00;17,00;;"E";22,00;"S";"W";"IR";;"NI";26,00;261,00;;22,00;2,10;1673,00;12,70;1205,00;6,00;6,00;2,00;7,00;0,00;0,00;3,00;"3";"2";2,00;;2,00;;;;;;;;;;"1";;;;;;;;;3,00;;;;;;;;;;;;;;3,00;;;;;"2";;343;
"0820   214";"Distichium inclinatum";"M";"Dicr";30,00;"N";"Tuft";"P";"Tf";;;;;;"F";"M";;;;30,00;;"E";40,00;"S";"W";"IR";;"NI";26,00;79,00;;13,00;3,40;1362,00;13,40;950,00;6,00;8,00;2,00;7,00;1,00;0,00;3,00;;;3,00;;3,00;;;;;;;;;;"3";;;;;;;;;3,00;;;;;;;;;;;;;;3,00;;;;;;3,00;344;
"0820   677";"Ditrichum cornubicum";"M";"Dicr";5,00;"NA";"Tuft";"PA";"Ts";;"F";;;;"Nil";"D";;;;;;"E";;;;;;;71,00;3,00;;;5,40;1353,00;15,30;260,00;5,00;7,00;2,00;4,00;5,00;0,00;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;345;
"0820   215";"Ditrichum cylindricum";"M";"Dicr";5,00;"N";"Tuft";"PA";"Ts";;"F";;;;"R";"D";;;;12,00;;"E";16,00;"S";"W";"IR";"CI";"NI";56,00;1048,00;2,00;82,00;3,40;1065,00;14,70;700,00;5,00;7,00;4,00;5,00;0,00;0,00;;;;3,00;;3,00;;;;;;;;;;;;;;;2,00;;;;2,00;;;;;;;;;;;;"1";;;3,00;3,00;3,00;;;3,00;346;
"0820  1347";"Ditrichum flexicaule";"M";"Dicr";50,00;"N";"Tuft";"P";"";;;"F";;;"X";"D";;;;7,00;;"E";12,00;"S";"W";"IR";;"(NI)";66,00;42,00;;1,00;3,20;1004,00;14,60;1214,00;3,00;7,00;2,00;7,00;0,00;0,00;;;;3,00;3,00;3,00;;;;;;;;;;"3";;3,00;;;;;;;3,00;;;;;;;;;;;;;;3,00;3,00;;;;;;347;
"0820   216";"Ditrichum flexicaule s.l.";"M";"Dicr";110,00;"N";"Tf";"P";"Tuft";;;;;;"R";"D";;;;7,00;;"E";12,00;"S";"W";"IR";"CI";"NI";66,00;641,00;2,00;99,00;3,20;1231,00;14,10;1214,00;5,00;7,00;2,00;7,00;0,00;0,00;;;;3,00;3,00;2,00;;;;;;;;;;"3";;3,00;;;;;;;3,00;;;;;;;;;;;;;;3,00;3,00;;;;;;348;
"0820  1348";"Ditrichum gracile";"M";"Dicr";110,00;"N";"Tf";"P";"Tuft";;;;;;"R";"D";;;;;;"E";;"S";"W";"IR";"CI";"NI";56,00;143,00;;12,00;3,40;1221,00;14,50;638,00;5,00;7,00;2,00;7,00;0,00;0,00;;"2";"2";3,00;3,00;3,00;;;;;;;;;;"3";;3,00;;;;;;;3,00;;;;;;;;;;;;;;3,00;3,00;;;;"2";;349;
"0820   217";"Ditrichum heteromallum";"M";"Dicr";10,00;"N";"Tf";"P";"";;"R";;;;"A";"D";2,00;;4,00;12,00;;"E";18,00;"S";"W";"IR";;"NI";53,00;686,00;2,00;96,00;2,90;1447,00;13,70;820,00;6,00;5,00;2,00;3,00;0,00;0,00;;;;3,00;3,00;3,00;;;;;;;;;;;;;;;3,00;;;;;;;"3";;;3,00;;;2,00;3,00;"2";"3";3,00;;3,00;;;;;3,00;350;
"0820   220";"Ditrichum lineare";"M";"Dicr";15,00;"N";"Tuft";"PA";"Ts";;"U";;;;"R";"D";;;;12,00;;"E";12,00;"S";"W";"IR";;"NI";43,00;47,00;;2,00;1,90;1954,00;12,60;1040,00;6,00;6,00;2,00;3,00;2,00;0,00;;;;3,00;1,00;;;;;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;"3";;;3,00;;;;"1";2,00;351;
"0820   678";"Ditrichum plumbicola";"M";"Dicr";15,00;"NA";"Tuft";"PA";"Tf";;"U";;;;"Nil";"Nil";;;;;;"E";;"S";"W";;;;71,00;17,00;;;2,90;1645,00;13,50;460,00;6,00;7,00;2,00;5,00;5,00;0,00;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;352;
"0820   218";"Ditrichum pusillum";"M";"Dicr";10,00;"N";"Ts";"PA";"Tf";;"F";;;;"F";"D";;;;12,00;;"E";15,00;"S";"W";"(IR)";;"(NI)";56,00;28,00;;;3,10;1470,00;13,70;900,00;5,00;7,00;3,00;4,00;0,00;0,00;;;;3,00;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,00;;;;3,00;;3,00;;;;3,00;353;
"0820   219";"Ditrichum subulatum";"M";"Dicr";6,50;"N";"Tf";"P";"";;"U";;;;"A";"M";4,00;;4,00;14,00;;"E";18,00;;"W";;;;91,00;12,00;;;6,10;1127,00;15,80;40,00;5,00;6,00;2,00;3,00;0,00;0,00;;;;3,00;3,00;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;;;;;;;3,00;3,00;;;;;;354;
"0820   221";"Ditrichum zonatum";"M";"Dicr";50,00;"N";"Cu";"P";"";;"U";;;;"X";"D";;;;;;"E";;"S";"W";"IR";;"(NI)";13,00;86,00;;4,00;1,30;2161,00;11,90;880,00;4,00;7,00;1,00;2,00;0,00;0,00;3,00;;;3,00;3,00;;;;;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;;3,00;3,00;;;;;;;355;
"0810   750";"Douinia ovata";"L";"Jung";15,00;"N";"Ms";"P";"";;;;;;"F";"D";4,00;;10,00;12,00;;"E";18,00;"S";"W";"IR";;"NI";71,00;183,00;;17,00;2,10;2011,00;12,50;915,00;6,00;5,00;2,00;3,00;0,00;0,00;3,00;"2";"2";;3,00;;1,00;"1";3,00;1,00;;;;3,00;;;;;;;;;;;;;;;;;3,00;;;3,00;;;;3,00;3,00;;;;;"2";;356;
"0820   222";"Drepanocladus aduncus";"M";"Hypn";127,00;"N";"We";"P";"Ac";;;;;;"R";"D";;;;16,00;;"E";16,00;"S";"W";"IR";"CI";"NI";56,00;689,00;4,00;35,00;3,70;916,00;15,20;430,00;10,00;7,00;6,00;7,00;0,00;2,00;;;"2";3,00;;3,00;;;;;;;"3";;"3";"3";;;"3";;3,00;;;;;;3,00;;;;3,00;;;;;;;;;2,00;;;;;3,00;357;
"0820   226.1";"Drepanocladus cossonii";"M";"Hypn";80,00;"N";"We";"P";"Mr";;;;;;"R";"D";;;;14,00;;"E";20,00;"S";"W";"IR";;"NI";26,00;110,00;;4,00;3,30;1323,00;14,00;620,00;8,00;8,00;2,00;7,00;0,00;0,00;;;;3,00;;2,00;;;;;;;;;;"2";;;;;;;;"3";;;;;;;;;;;;;;;;;;;;;;358;
"0820   225";"Drepanocladus lycopodioides";"M";"Hypn";143,00;"N";"We";"P";"";;;;;;"R";"D";;;;12,00;;"E";18,00;"S";"W";"IR";;"NI";73,00;27,00;;13,00;4,10;1003,00;14,60;520,00;9,00;8,00;2,00;7,00;0,00;1,00;;;;3,00;;3,00;;;;;;;;;;"3";;;"3";;3,00;;;"2";;;;;;;1,00;;;;;;;;;;;;;;;359;
"0820   133";"Drepanocladus polygamus";"M";"Hypn";80,00;"N";"Mr";"P";"We";;;;;;"O";"M";;;;20,00;;"E";24,00;"S";"W";"IR";;"NI";56,00;148,00;;22,00;4,00;1032,00;14,80;850,00;8,00;9,00;3,00;7,00;0,00;3,00;;;"1";3,00;;3,00;;;;;;;;;"3";"3";;3,00;;;;;;"3";;;3,00;;;;;;;;;;;;;;1,00;;;"1";2,00;360;
"0820   226.2";"Drepanocladus revolvens";"M";"Hypn";100,00;"N";"We";"P";"";;;;;;"R";"M";;;;12,00;;"E";16,00;"S";"W";"IR";;"NI";26,00;157,00;;14,00;2,70;1598,00;13,30;550,00;9,00;8,00;2,00;6,00;0,00;0,00;;;;3,00;;3,00;3,00;;;;;;;;;;;;;;3,00;;;"3";;;;;;;;;;;;;;;;;;;;;;361;
"0820   226";"Drepanocladus revolvens s.l.";"M";"Hypn";100,00;"N";"We";"P";"Mr";;;;;;"R";"MD";;;;12,00;;"E";20,00;"S";"W";"IR";;"NI";26,00;833,00;;154,00;2,90;1445,00;13,30;975,00;9,00;8,00;2,00;6,00;0,00;0,00;;;;3,00;;3,00;3,00;;;;;;;;"1";;;;;;3,00;;;"3";;;;;;;;;;;;;;;;;;;;;;362;
"0820   227";"Drepanocladus sendtneri";"M";"Hypn";130,00;"N";"We";"P";"Mr";;;;;;"R";"D";6,00;;6,00;16,00;;"E";16,00;"S";"W";"IR";;"NI";26,00;40,00;;13,00;4,50;1029,00;15,00;30,00;9,00;8,00;2,00;8,00;0,00;1,00;;;;3,00;;3,00;;;;;;;;;;"3";;;"2";;2,00;;;"1";;;;;;;;;;;;;;;;;;;;;3,00;363;
"0810   751";"Drepanolejeunea hamatifolia";"L";"Pore";10,00;"N";"Ms";"P";"Sc";;;"F";;;"F";"MD";5,00;;9,00;;;"E";;"S";"W";"IR";;"NI";80,00;145,00;;69,00;3,40;1906,00;13,20;610,00;7,00;3,00;2,00;4,00;0,00;0,00;3,00;;;;;;;;;;;3,00;;3,00;;;;3,00;;;;;;;;;;;;;;;;3,00;;;;3,00;3,00;;;;;;;364;
"0810   752";"Dumortiera hirsuta";"L";"Marc";120,00;"N";"Mt";"P";"";;;;;;"O";"MD";5,00;;9,00;23,00;;"E";34,00;"S";;"IR";;"NI";81,00;11,00;;26,00;4,50;1299,00;14,40;400,00;8,00;2,00;5,00;6,00;0,00;0,00;3,00;"3";;3,00;;;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;;;3,00;;;;;;;;365;
"0820   230";"Encalypta alpina";"M";"Enca";40,00;"N";"Tuft";"P";"Tf";;;;;;"A";"M";;;;28,00;;"E";40,00;"S";"(W)";"IR";;;16,00;18,00;;1,00;0,20;2051,00;11,40;1205,00;5,00;5,00;3,00;7,00;0,00;0,00;3,00;"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;366;
"0820  1035";"Encalypta brevicollis";"M";"Enca";20,00;"N";"Tuft";"P";"";;;;;;"A";"M";;;;30,00;;;36,00;"(S)";;;;;26,00;;;;;;;170,00;5,00;4,00;3,00;7,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;367;
"0820   231";"Encalypta ciliata";"M";"Enca";50,00;"N";"Tuft";"P";"Tf";;;;;;"A";"M";9,00;;9,00;30,00;;"E";38,00;"S";"W";"IR";;"NI";46,00;91,00;;2,00;1,40;1880,00;12,30;1100,00;5,00;4,00;3,00;7,00;0,00;0,00;3,00;"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;"2";;368;
"0820   232";"Encalypta rhaptocarpa";"M";"Enca";20,00;"N";"Tuft";"P";"";;;;;;"A";"M";;;;34,00;;"E";50,00;"S";"(W)";"IR";;"NI";26,00;45,00;;2,00;1,60;1582,00;12,20;1190,00;4,00;7,00;3,00;7,00;0,00;0,00;;"3";;;3,00;3,00;;;;;;;;;;"3";;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;369;
"0820   233";"Encalypta streptocarpa";"M";"Enca";60,00;"N";"Tuft";"P";"Tf";"F";;;;;"R";"D";;;;10,00;;"E";14,00;"S";"W";"IR";;"NI";55,00;998,00;;176,00;3,20;1195,00;14,40;760,00;4,00;6,00;2,00;8,00;1,00;0,00;3,00;"3";"3";3,00;3,00;3,00;;;;;;;;;;"3";;3,00;;;;;;;3,00;;;;;;;;"3";3,00;;;;;3,00;;;;;"3";3,00;370;"1"
"0820   234";"Encalypta vulgaris";"M";"Enca";20,00;"N";"Tuft";"P";"Tf";;;;;;"A";"M";;;;30,00;;"E";45,00;"S";"W";"IR";;"NI";76,00;310,00;;21,00;3,20;921,00;14,90;730,00;4,00;7,00;3,00;8,00;0,00;0,00;3,00;"3";"3";3,00;3,00;;;;;;;;;;;;;3,00;;;;;;;3,00;;;;;;;;"3";2,00;;;;;3,00;;;;;"3";3,00;371;
"0820   235";"Entodon concinnus";"M";"Hypn";100,00;"N";"We";"P";"";;;;;;"X";"D";;;;11,00;;"E";14,00;"S";"W";"IR";;"NI";46,00;226,00;;40,00;3,40;1120,00;14,50;1175,00;4,00;8,00;2,00;8,00;0,00;0,00;;;;3,00;3,00;3,00;;;;;;;;;;"3";;;;;;;;;3,00;;;"3";;;;;;;;;;3,00;3,00;;;;;;3,00;372;
"0820   282";"Entosthodon attenuatus";"M";"Funa";5,00;"N";"Ts";"AP";"Tf";;;;;;"A";"M";2,00;;9,00;24,00;;"E";30,00;"S";"W";"IR";"CI";"NI";91,00;276,00;2,00;78,00;3,70;1613,00;13,40;700,00;7,00;7,00;3,00;5,00;0,00;0,00;;;;3,00;3,00;3,00;;;;;;;;;;;;3,00;;;3,00;;;;;;;;;;3,00;;;;2,00;;;;3,00;3,00;;;;;;373;
"0820   283";"Entosthodon fascicularis";"M";"Funa";10,00;"N";"Tf";"A";"";;;;;;"A";"M";3,00;;6,00;24,00;;"E";28,00;"S";"W";"IR";"CI";"(NI)";73,00;191,00;3,00;9,00;4,50;910,00;15,80;245,00;6,00;8,00;4,00;5,00;0,00;0,00;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;1,00;;;;;;3,00;3,00;;;;;374;
"0820   286";"Entosthodon obtusus";"M";"Funa";5,00;"N";"Ts";"AP";"Tf";;;;;;"A";"M";12,00;;8,00;30,00;;"E";38,00;"S";"W";"IR";"CI";"NI";92,00;480,00;7,00;99,00;3,40;1478,00;13,50;787,00;7,00;7,00;3,00;5,00;0,00;0,00;;;;3,00;3,00;3,00;;;;;;;;;;;;3,00;;;3,00;;"3";;;;;;;;3,00;;;;;;;;2,00;3,00;;;;"1";;375;
"0820   236";"Ephemerum cohaerens";"M";"Pott";1,50;"N";"Tp";"A";"";;;;;;"A";"M";;;;60,00;;"E";70,00;;;"IR";;;73,00;5,00;;6,00;3,90;883,00;15,30;60,00;7,00;7,00;5,00;5,00;0,00;0,00;;;;3,00;;;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;;;376;
"0820  2501";"Ephemerum hibernicum";"M";"Pott";2,20;"N";"Tp";"A";"";;;;;;"A";"M";;;;61,00;;;69,00;;"W";"IR";;;70,00;2,00;;1,00;4,10;1170,00;15,30;140,00;7,00;7,00;6,00;6,00;0,00;0,00;;;;3,00;;;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;;;377;
"0820   238";"Ephemerum recurvifolium";"M";"Pott";1,50;"N";"Tp";"A";"Tf";;;;;;"A";"M";;;;40,00;;"E";55,00;;"W";;;;83,00;107,00;;;3,60;705,00;16,10;270,00;4,00;7,00;4,00;8,00;0,00;0,00;;;;3,00;;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;;;1,00;2,00;;;;;;3,00;;;;;378;
