"id";"hrl_code";"criterium_naam";"criterium_nr";"code_lijst";"soortenlijstnr";"veldnaam"
976;"M";"duinpan-sleutels.";1223;"duinpan-sleutels.";658;"duinpan_sleutel_bedekking"
977;"M";"trilveen";1224;"trilveen";659;"trilveen_bedekking"
978;"M";"alkalisch laagveen";1225;"alkalisch laagveen";660;"alklaagveen_bedekking"
979;"M";"alkalische begeleid.";1226;"alkalische begeleid.";661;"alkal_begel_bedekking"
980;"M";"natteruigte-sleutel.";1227;"natteruigte-sleutel.";662;"natteruigte_bedekking"
981;"M";"natteruigte-begel.";1228;"natteruigte-begel.";663;"natteruigte_begel_bedekking"
982;"M";"dottergrasland";1229;"dottergrasland";664;
983;"M";"grotezegge";1230;"grotezegge";665;"grotezegge_bedekking"
984;"M";"zeebies";1231;"zeebies";666;"zeebiesgroep_bedekking"
985;"M";"invasieve exoten";1232;"invasieve exoten";667;"invasief_bedekking"
986;"M";"3130_na";1233;"3130_na";668;
987;"M";"rbbah";1234;"rbbah";669;
988;"M";"3270";1235;"3270";670;
989;"M";"duinpan+7230";1236;"duinpan+7230";671;
990;"M";"7140meso diff ms";1237;"7140meso diff ms";672;
991;"M";"mc_eutro";1238;"mc_eutro";673;
992;"M";"mc_ruig";1239;"mc_ruig";674;
993;"M";"mc_gras";1240;"mc_gras";675;
994;"M";"6430_ruig";1241;"6430_ruig";676;
995;"M";"rbbhfl-kwal";1242;"rbbhfl-kwal";677;
996;"M";"6430_eutro";1243;"6430_eutro";678;"6430_eutro_bedekking"
997;"M";"6430_ruderaal";1244;"6430_ruderaal";679;"6430_ruderaal_bedekking"
998;"M";"6430_verdroging";1245;"6430_verdroging";680;"6430_verdroging_bedekking"
999;"M";"6430_rus";1246;"6430_rus";681;"6430_rus_bedekking"
1000;"M";"7140_eutro";1247;"7140_eutro";682;"7140_eutro_bedekking"
1001;"M";"7140_vergrassing";1248;"7140_vergrassing";683;"7140_vergrassing_bedekking"
1002;"M";"7140_ruig";1249;"7140_ruig";684;"7140_ruig_bedekking"
1003;"M";"ms_vergrassing";1250;"ms_vergrassing";685;"ms_vergrassing_bedekking"
1004;"M";"ms_eutro";1251;"ms_eutro";686;"ms_eutro_bedekking"
1005;"M";"ms_ruig";1252;"ms_ruig";687;"ms_ruig_bedekking"
1006;"M";"water+moeras";1253;"water+moeras";688;"waterpl_moeraspl_bedekking"
1007;"M";"natteruigte-grzegge";1254;"natteruigte-grzegge";689;"natteruigte-grzegge_bedekking"
1008;"O";"waterpl";1255;"waterpl";690;"waterpl_bedekking"
1009;"M";"riet_vs_ms";1256;"riet_vs_ms";691;
1010;"M";"ms_vs_riet";1257;"ms_vs_riet";692;
1011;"M";"hc_vs_mc";1258;"hc_vs_mc";693;
1012;"M";"mc_vs_hc";1259;"mc_vs_hc";694;
1013;"M";"zil_vs_mc";1260;"zil_vs_mc";695;
1014;"M";"mc_vs_zil";1261;"mc_vs_zil";696;
1015;"M";"netel_braam";1262;"netel_braam";697;
