"originalna";"id";"speciesnam";"vaatplant";"is_gras";"is_boomstruik";"is_dwergstruik";"is_hogeplant";"is_meerjarigkruid";"is_schijngras";"is_jarig";"is_invasieveexoot";"is_mos";"is_lichen";"is_kranswier";"link_bbr";"link_bryoatt";"link_hill";"hoogte_max";"is_bossoort";"l_waarde";"genus_ori";"species_ori";"subspecies_ori";"genus";"species";"subspecies";"specieszonderauteur_ori";"specieszonderauteur";"L_getal";"R_getal";"F_getal";"N_getal";"S_getal";"taxontype_ID"
"Quercus sessilis Ehrh. ex Schur";1188;"Quercus petraea Lieblein";1;0;1;0;0;0;0;0;0;0;0;0;1036;;1323;3000;0;6;"Quercus ";"sessilis";;"Quercus ";"petraea";;"Quercus sessilis";"Quercus petraea";6;3;6;4;0;9
"Racomitrium canescens (Hedw.) Brid. s.l.";1189;"Racomitrium canescens (Hedw.) Brid. s.l.";0;0;0;0;0;0;0;0;0;1;0;0;2954;882;;;0;9;"Racomitrium ";"canescens";"s.l.";"Racomitrium ";"canescens";"s.l.";"Racomitrium canescens s.l.";"Racomitrium canescens s.l.";8;6;3;2;0;7
"Radiola linoides Roth";1190;"Radiola linoides Roth";1;0;0;0;0;0;0;1;0;0;0;0;1038;;1325;10;0;8;"Radiola ";"linoides";;"Radiola ";"linoides";;"Radiola linoides";"Radiola linoides";8;4;7;2;1;9
"Ranunculus";1191;"Ranunculus";1;0;0;0;0;1;0;0;0;0;0;0;6437;;;;0;;"Ranunculus";;;"Ranunculus";;;"Ranunculus";"Ranunculus";;;;;;12
"Ranunculus acer";1192;"Ranunculus acris L.";1;0;0;0;0;1;0;0;0;0;0;0;1040;;1326;90;0;7;"Ranunculus ";"acer";;"Ranunculus ";"acris";;"Ranunculus acer";"Ranunculus acris";7;6;6;4;0;9
"Ranunculus acris L.";1193;"Ranunculus acris L.";1;0;0;0;0;1;0;0;0;0;0;0;1040;;1326;90;0;7;"Ranunculus ";"acris";;"Ranunculus ";"acris";;"Ranunculus acris";"Ranunculus acris";7;6;6;4;0;9
"Ranunculus acris subsp. acris";1194;"Ranunculus acris L. subsp. acris";1;0;0;0;0;1;0;0;0;0;0;0;;;;90;0;;"Ranunculus ";"acris";"subsp. acris";"Ranunculus ";"acris";"subsp. acris";"Ranunculus acris subsp. acris";"Ranunculus acris subsp. acris";;;;;;22
"Ranunculus 'aquatilis' groep";1195;"Ranunculus aquatilis L.";1;0;0;0;0;1;0;0;0;0;0;0;1946;;1327;300;0;7;"Ranunculus ";"'aquatilis'";"groep";"Ranunculus ";"'aquatilis'";"groep";"Ranunculus 'aquatilis' groep";"Ranunculus aquatilis";7;7;10;5;0;9
"Ranunculus arvensis L.";1196;"Ranunculus arvensis L.";1;0;0;0;0;0;0;1;0;0;0;0;1042;;1328;60;0;7;"Ranunculus ";"arvensis";;"Ranunculus ";"arvensis";;"Ranunculus arvensis";"Ranunculus arvensis";7;7;5;6;0;9
"Ranunculus auricomus L.";1197;"Ranunculus auricomus L.";1;0;0;0;0;1;0;0;0;0;0;0;1043;;1329;50;0;6;"Ranunculus ";"auricomus";;"Ranunculus ";"auricomus";;"Ranunculus auricomus";"Ranunculus auricomus";6;6;7;5;0;9
"Ranunculus baudotii Godr.";1198;"Ranunculus baudotii Godr.";1;0;0;0;0;1;0;0;0;0;0;0;1044;;1330;80;0;7;"Ranunculus ";"baudotii";;"Ranunculus ";"baudotii";;"Ranunculus baudotii";"Ranunculus baudotii";7;7;10;6;4;9
"Ranunculus bulbosus L.";1199;"Ranunculus bulbosus L.";1;0;0;0;0;1;0;0;0;0;0;0;1045;;1331;50;0;7;"Ranunculus ";"bulbosus";;"Ranunculus ";"bulbosus";;"Ranunculus bulbosus";"Ranunculus bulbosus";7;7;4;4;0;9
"Ranunculus circinatus Sibth.";1200;"Ranunculus circinatus Sibth.";1;0;0;0;0;1;0;0;0;0;0;0;1046;;1332;100;0;7;"Ranunculus ";"circinatus";;"Ranunculus ";"circinatus";;"Ranunculus circinatus";"Ranunculus circinatus";7;7;12;7;0;9
"Ranunculus ficaria L.";1201;"Ranunculus ficaria L.";1;0;0;0;0;1;0;0;0;0;0;0;2402;;1333;30;1;6;"Ranunculus ";"ficaria";;"Ranunculus ";"ficaria";;"Ranunculus ficaria";"Ranunculus ficaria";6;6;6;6;0;9
"Ranunculus flammula L.";1202;"Ranunculus flammula L.";1;0;0;0;0;1;0;0;0;0;0;0;1048;;1334;45;0;7;"Ranunculus ";"flammula";;"Ranunculus ";"flammula";;"Ranunculus flammula";"Ranunculus flammula";7;5;9;3;0;9
"Ranunculus lingua L.";1203;"Ranunculus lingua L.";1;0;0;0;0;1;0;0;0;0;0;0;1051;;1337;120;0;7;"Ranunculus ";"lingua";;"Ranunculus ";"lingua";;"Ranunculus lingua";"Ranunculus lingua";7;6;10;7;0;9
"Ranunculus ololeucos Lloyd";1204;"Ranunculus ololeucos Lloyd";1;0;0;0;0;1;0;0;0;0;0;0;1053;;;60;0;8;"Ranunculus ";"ololeucos";;"Ranunculus ";"ololeucos";;"Ranunculus ololeucos";"Ranunculus ololeucos";8;;10;3;0;9
"Ranunculus peltatus groep";1205;"Ranunculus peltatus groep";1;0;0;0;0;1;0;0;0;0;0;0;1055;;;300;0;;"Ranunculus ";"peltatus";"groep";"Ranunculus ";"peltatus";"groep";"Ranunculus peltatus groep";"Ranunculus peltatus groep";6;5;12;6;0;5
"Ranunculus peltatus Schrank";1206;"Ranunculus peltatus Schrank";1;0;0;0;0;1;0;0;0;0;0;0;1055;;1343;300;0;7;"Ranunculus ";"peltatus";;"Ranunculus ";"peltatus";;"Ranunculus peltatus";"Ranunculus peltatus";7;5;12;6;0;9
"Ranunculus polyanthemoides Boreau";1207;"Ranunculus serpens Schrank subsp. polyanthemoides (Boreau) Kerguélen et Lambinon";1;0;0;0;0;1;0;0;0;0;0;0;1512;;;90;1;6;"Ranunculus ";"polyanthemoides";;"Ranunculus ";"serpens";"subsp. polyanthemoides";"Ranunculus polyanthemoides";"Ranunculus serpens subsp. polyanthemoides";6;;;2;0;22
"Ranunculus polyanthemos L. subsp. nemorosus (DC.) Schübl. et Martens";1208;"Ranunculus serpens Schrank subsp. nemorosus (DC.) G. López";1;0;0;0;0;1;0;0;0;0;0;0;2404;;;90;1;6;"Ranunculus ";"polyanthemos";"subsp. nemorosus";"Ranunculus ";"serpens";"subsp. nemorosus";"Ranunculus polyanthemos subsp. nemorosus";"Ranunculus serpens subsp. nemorosus";6;6;5;;0;22
"Ranunculus repens L.";1209;"Ranunculus repens L.";1;0;0;0;0;1;0;0;0;0;0;0;1056;;1345;50;0;6;"Ranunculus ";"repens";;"Ranunculus ";"repens";;"Ranunculus repens";"Ranunculus repens";6;6;7;7;0;9
"Ranunculus sardous Crantz";1210;"Ranunculus sardous Crantz";1;0;0;0;0;0;0;1;0;0;0;0;1057;;1347;50;0;8;"Ranunculus ";"sardous";;"Ranunculus ";"sardous";;"Ranunculus sardous";"Ranunculus sardous";8;6;7;7;2;9
"Ranunculus sceleratus L.";1211;"Ranunculus sceleratus L.";1;0;0;0;0;0;0;1;0;0;0;0;1058;;1348;70;0;8;"Ranunculus ";"sceleratus";;"Ranunculus ";"sceleratus";;"Ranunculus sceleratus";"Ranunculus sceleratus";8;8;8;8;2;9
"Ranunculus subg. Batrachium";1212;"Ranunculus L. subg. Batrachium";1;0;0;0;0;1;0;0;0;0;0;0;;;;300;0;;"Ranunculus ";"subg. Batrachium";;"Ranunculus ";"subg. Batrachium";;"Ranunculus subg. Batrachium";"Ranunculus subg. Batrachium";;;;;;20
"Ranunculus trichophyllus Chaix";1213;"Ranunculus trichophyllus Chaix";1;0;0;0;0;1;0;0;0;0;0;0;2414;;1349;300;0;7;"Ranunculus ";"trichophyllus";;"Ranunculus ";"trichophyllus";;"Ranunculus trichophyllus";"Ranunculus trichophyllus";7;6;12;6;0;9
"Raphanus raphanistrum L.";1214;"Raphanus raphanistrum L.";1;0;0;0;0;0;0;1;0;0;0;0;1061;;1352;60;0;7;"Raphanus ";"raphanistrum";;"Raphanus ";"raphanistrum";;"Raphanus raphanistrum";"Raphanus raphanistrum";7;6;5;6;0;9
"ratelaar spec";1215;"Rhinanthus";1;0;0;0;0;0;0;1;0;0;0;0;6442;;;;0;;;;;"Rhinanthus";;;;"Rhinanthus";;;;;;12
"Rhacomitrum lanuginosum";1216;"Racomitrium lanuginosum (Hedw.) Brid.";0;0;0;0;0;0;0;0;0;1;0;0;2959;890;;;0;8;"Rhacomitrum ";"lanuginosum";;"Racomitrium ";"lanuginosum";;"Rhacomitrum lanuginosum";"Racomitrium lanuginosum";7;2;4;1;0;9
"Rhamnus frangula L.";1217;"Frangula alnus Mill.";1;0;1;0;0;0;0;0;0;0;0;0;530;;658;300;0;6;"Rhamnus ";"frangula";;"Frangula ";"alnus";;"Rhamnus frangula";"Frangula alnus";6;5;8;5;0;9
"Rhinanthus";1218;"Rhinanthus";1;0;0;0;0;0;0;1;0;0;0;0;6442;;;;0;;"Rhinanthus";;;"Rhinanthus";;;"Rhinanthus";"Rhinanthus";;;;;;12
"Rhinanthus angustifolius C.C. Gmel.";1219;"Rhinanthus angustifolius C.C. Gmel.";1;0;0;0;0;0;0;1;0;0;0;0;1066;;1356;80;0;7;"Rhinanthus ";"angustifolius";;"Rhinanthus ";"angustifolius";;"Rhinanthus angustifolius";"Rhinanthus angustifolius";7;7;6;2;0;9
"Rhinanthus major auct. non L.";1220;"Rhinanthus angustifolius C.C. Gmel.";1;0;0;0;0;0;0;1;0;0;0;0;1066;;1356;80;0;7;"Rhinanthus ";"major";;"Rhinanthus ";"angustifolius";;"Rhinanthus major";"Rhinanthus angustifolius";7;7;6;2;0;9
"Rhinanthus minor L.";1221;"Rhinanthus minor L.";1;0;0;0;0;0;0;1;0;0;0;0;1067;;1357;50;0;7;"Rhinanthus ";"minor";;"Rhinanthus ";"minor";;"Rhinanthus minor";"Rhinanthus minor";7;6;5;4;0;9
"Rhizomnium punctatum (Hedw.) T.J.Kop.";1222;"Rhizomnium punctatum (Hedw.) T.J.Kop.";0;0;0;0;0;0;0;0;0;1;0;0;2962;905;;;1;3;"Rhizomnium ";"punctatum";;"Rhizomnium ";"punctatum";;"Rhizomnium punctatum";"Rhizomnium punctatum";5;5;8;4;0;9
"Rhododendron";1223;"Rhododendron";1;0;1;0;0;0;0;0;1;0;0;0;6443;;;;0;;"Rhododendron";;;"Rhododendron";;;"Rhododendron";"Rhododendron";;;;;;12
"Rhododendron ponticum L.";1224;"Rhododendron ponticum L.";1;0;1;0;0;0;0;0;1;0;0;0;2105;;1358;300;0;5;"Rhododendron ";"ponticum";;"Rhododendron ";"ponticum";;"Rhododendron ponticum";"Rhododendron ponticum";5;3;5;3;0;9
"Rhynchospora alba (L.) Vahl";1225;"Rhynchospora alba (L.) Vahl";1;0;0;0;0;0;1;0;0;0;0;0;1068;;1359;50;0;8;"Rhynchospora ";"alba";;"Rhynchospora ";"alba";;"Rhynchospora alba";"Rhynchospora alba";8;2;9;1;0;9
"Rhynchospora fusca (L.) Ait. f.";1226;"Rhynchospora fusca (L.) Ait. f.";1;0;0;0;0;0;1;0;0;0;0;0;1069;;1360;30;0;9;"Rhynchospora ";"fusca";;"Rhynchospora ";"fusca";;"Rhynchospora fusca";"Rhynchospora fusca";9;3;9;1;0;9
"Rhynchostegiella";1227;"Rhynchostegiella";0;0;0;0;0;0;0;0;0;1;0;0;;;;;0;;"Rhynchostegiella";;;"Rhynchostegiella";;;"Rhynchostegiella";"Rhynchostegiella";;;;;;12
"Rhynchostegium";1228;"Rhynchostegium";0;0;0;0;0;0;0;0;0;1;0;0;;;;;0;;"Rhynchostegium";;;"Rhynchostegium";;;"Rhynchostegium";"Rhynchostegium";;;;;;12
"Rhynchostegium confertum (Dicks.) Schimp.";1229;"Rhynchostegium confertum (Dicks.) Schimp.";0;0;0;0;0;0;0;0;0;1;0;0;2970;913;;;0;4;"Rhynchostegium ";"confertum";;"Rhynchostegium ";"confertum";;"Rhynchostegium confertum";"Rhynchostegium confertum";4;7;5;6;0;9
"Rhytidiadelphus";1230;"Rhytidiadelphus";0;0;0;0;0;0;0;0;0;1;0;0;;;;;0;;"Rhytidiadelphus";;;"Rhytidiadelphus";;;"Rhytidiadelphus";"Rhytidiadelphus";;;;;;12
"Rhytidiadelphus squarrosus (Hedw.) Warnst.";1231;"Rhytidiadelphus squarrosus (Hedw.) Warnst.";0;0;0;0;0;0;0;0;0;1;0;0;2976;919;;;0;6;"Rhytidiadelphus ";"squarrosus";;"Rhytidiadelphus ";"squarrosus";;"Rhytidiadelphus squarrosus";"Rhytidiadelphus squarrosus";7;5;5;4;0;9
"Rhytidiadelphus triquetrus (Hedw.) Warnst.";1232;"Rhytidiadelphus triquetrus (Hedw.) Warnst.";0;0;0;0;0;0;0;0;0;1;0;0;2977;921;;;0;5;"Rhytidiadelphus ";"triquetrus";;"Rhytidiadelphus ";"triquetrus";;"Rhytidiadelphus triquetrus";"Rhytidiadelphus triquetrus";6;6;6;3;0;9
"Ribes";1233;"Ribes";1;0;1;0;0;0;0;0;0;0;0;0;6446;;;;0;;"Ribes";;;"Ribes";;;"Ribes";"Ribes";;;;;;12
"Ribes nigrum L.";1234;"Ribes nigrum L.";1;0;1;0;0;0;0;0;0;0;0;0;1070;;1362;150;0;5;"Ribes ";"nigrum";;"Ribes ";"nigrum";;"Ribes nigrum";"Ribes nigrum";5;6;9;6;0;9
"Ribes rubrum L.";1235;"Ribes rubrum L.";1;0;1;0;0;0;0;0;0;0;0;0;1071;;1363;150;0;5;"Ribes ";"rubrum";;"Ribes ";"rubrum";;"Ribes rubrum";"Ribes rubrum";5;7;7;6;0;9
"Ribes uva-crispa L.";1236;"Ribes uva-crispa L.";1;0;0;1;0;0;0;0;0;0;0;0;1072;;1365;120;1;5;"Ribes ";"uva-crispa";;"Ribes ";"uva-crispa";;"Ribes uva-crispa";"Ribes uva-crispa";5;7;5;6;0;9
"Riccardia";1237;"Riccardia";0;0;0;0;0;0;0;0;0;1;0;0;;;;;0;;"Riccardia";;;"Riccardia";;;"Riccardia";"Riccardia";;;;;;12
"Riccardia chamedryfolia (With.) Grolle";1238;"Riccardia chamedryfolia (With.) Grolle";0;0;0;0;0;0;0;0;0;1;0;0;3455;923;;;0;6;"Riccardia ";"chamedryfolia";;"Riccardia ";"chamedryfolia";;"Riccardia chamedryfolia";"Riccardia chamedryfolia";6;6;9;3;0;9
"Riccardia latifrons (Lindb.) Lindb.";1239;"Riccardia latifrons (Lindb.) Lindb.";0;0;0;0;0;0;0;0;0;1;0;0;3457;925;;;0;6;"Riccardia ";"latifrons";;"Riccardia ";"latifrons";;"Riccardia latifrons";"Riccardia latifrons";7;1;8;1;0;9
"Riccardia multifida (L.) Gray";1240;"Riccardia multifida (L.) Gray";0;0;0;0;0;0;0;0;0;1;0;0;3458;926;;;0;7;"Riccardia ";"multifida";;"Riccardia ";"multifida";;"Riccardia multifida";"Riccardia multifida";7;5;9;2;0;9
"Riccardia pinguis";1241;"Aneura pinguis (L.) Dumort.";0;0;0;0;0;0;0;0;0;1;0;0;3301;46;;;0;7;"Riccardia ";"pinguis";;"Aneura ";"pinguis";;"Riccardia pinguis";"Aneura pinguis";8;6;9;2;0;9
"Riccia";1242;"Riccia";0;0;0;0;0;0;0;0;0;1;0;0;;;;;0;;"Riccia";;;"Riccia";;;"Riccia";"Riccia";;;;;;12
"Riccia cavernosa Hoffm.";1243;"Riccia cavernosa Hoffm.";0;0;0;0;0;0;0;0;0;1;0;0;3464;931;;;0;8;"Riccia ";"cavernosa";;"Riccia ";"cavernosa";;"Riccia cavernosa";"Riccia cavernosa";7;7;9;6;0;9
"Riccia fluitans L.";1244;"Riccia fluitans L.";0;0;0;0;0;0;0;0;0;1;0;0;3468;934;;;0;8;"Riccia ";"fluitans";;"Riccia ";"fluitans";;"Riccia fluitans";"Riccia fluitans";7;7;10;6;0;9
"Riccia glauca L.";1245;"Riccia glauca L.";0;0;0;0;0;0;0;0;0;1;0;0;3471;935;;;0;8;"Riccia ";"glauca";;"Riccia ";"glauca";;"Riccia glauca";"Riccia glauca";7;6;6;6;2;9
"Robinia pseudoacacia L.";1246;"Robinia pseudoacacia L.";1;0;1;0;0;0;0;0;1;0;0;0;1877;;1366;2500;0;7;"Robinia ";"pseudoacacia";;"Robinia ";"pseudoacacia";;"Robinia pseudoacacia";"Robinia pseudoacacia";7;6;4;6;0;9
"Rorippa";1247;"Rorippa";1;0;0;0;0;1;0;0;0;0;0;0;6449;;;;0;;"Rorippa";;;"Rorippa";;;"Rorippa";"Rorippa";;;;;;12
"Rorippa amphibia (L.) Besser";1248;"Rorippa amphibia (L.) Besser";1;0;0;0;0;1;0;0;0;0;0;0;1074;;1368;120;0;8;"Rorippa ";"amphibia";;"Rorippa ";"amphibia";;"Rorippa amphibia";"Rorippa amphibia";8;7;10;8;0;9
"Rorippa austriaca (Crantz) Besser";1249;"Rorippa austriaca (Crantz) Besser";1;0;0;0;0;1;0;0;0;0;0;0;1075;;;90;0;8;"Rorippa ";"austriaca";;"Rorippa ";"austriaca";;"Rorippa austriaca";"Rorippa austriaca";8;8;;8;0;9
"Rorippa microphylla (Boenningh.) Hyl.";1250;"Nasturtium microphyllum (Boenningh.) Reichenb.";1;0;0;0;0;1;0;0;0;0;0;0;859;;1370;90;0;7;"Rorippa ";"microphylla";;"Nasturtium ";"microphyllum";;"Rorippa microphylla";"Nasturtium microphyllum";7;7;10;6;0;9
"Rorippa nasturtium-aquaticum (L.) Hayek";1251;"Nasturtium officinale R. Brown";1;0;0;0;0;1;0;0;0;0;0;0;860;;1371;90;0;7;"Rorippa ";"nasturtium-aquaticum";;"Nasturtium ";"officinale";;"Rorippa nasturtium-aquaticum";"Nasturtium officinale";7;7;10;7;0;9
"Rorippa palustris (L.) Besser";1252;"Rorippa palustris (L.) Besser";1;0;0;0;0;0;0;1;0;0;0;0;1076;;1372;60;0;8;"Rorippa ";"palustris";;"Rorippa ";"palustris";;"Rorippa palustris";"Rorippa palustris";8;7;8;7;0;9
"Rorippa sylvestris (L.) Besser";1253;"Rorippa sylvestris (L.) Besser";1;0;0;0;0;1;0;0;0;0;0;0;1078;;1373;45;0;8;"Rorippa ";"sylvestris";;"Rorippa ";"sylvestris";;"Rorippa sylvestris";"Rorippa sylvestris";8;7;8;7;0;9
"Rosa";1254;"Rosa";1;0;1;0;0;0;0;0;0;0;0;0;6450;;;;0;;"Rosa";;;"Rosa";;;"Rosa";"Rosa";;;;;;12
"Rosa arvensis Huds.";1255;"Rosa arvensis Huds.";1;0;1;0;0;0;0;0;0;0;0;0;1080;;1375;200;1;6;"Rosa ";"arvensis";;"Rosa ";"arvensis";;"Rosa arvensis";"Rosa arvensis";6;7;4;5;0;9
"Rosa canina L.";1256;"Rosa canina L.";1;0;1;0;0;0;0;0;0;0;0;0;1643;;1377;300;0;6;"Rosa ";"canina";;"Rosa ";"canina";;"Rosa canina";"Rosa canina";6;7;5;6;0;9
"Rosa canina L. s.l.";1257;"Rosa canina L. s.l.";1;0;1;0;0;0;0;0;0;0;0;0;1643;;;300;0;;"Rosa ";"canina";"s.l.";"Rosa ";"canina";"s.l.";"Rosa canina s.l.";"Rosa canina s.l.";8;;4;;0;7
"Rosa pimpinellifolia L.";1258;"Rosa pimpinellifolia L.";1;0;0;1;0;0;0;0;0;0;0;0;1083;;1381;90;0;8;"Rosa ";"pimpinellifolia";;"Rosa ";"pimpinellifolia";;"Rosa pimpinellifolia";"Rosa pimpinellifolia";8;6;3;3;0;9
"Rosa rubiginosa L.";1259;"Rosa rubiginosa L.";1;0;1;0;0;0;0;0;0;0;0;0;1645;;1382;200;0;7;"Rosa ";"rubiginosa";;"Rosa ";"rubiginosa";;"Rosa rubiginosa";"Rosa rubiginosa";7;8;3;3;0;9
"Rosa rugosa Thunb.";1260;"Rosa rugosa Thunb.";1;0;1;0;0;0;0;0;1;0;0;0;1085;;;200;0;;"Rosa ";"rugosa";;"Rosa ";"rugosa";;"Rosa rugosa";"Rosa rugosa";;;;;;9
"Rosa tomentella Léman";1261;"Rosa tomentella Léman";1;0;1;0;0;0;0;0;0;0;0;0;;;;;0;;"Rosa ";"tomentella";;"Rosa ";"tomentella";;"Rosa tomentella";"Rosa tomentella";;;;;;9
"Rubus";1262;"Rubus";1;0;0;0;1;1;0;0;0;0;0;0;6452;;;;0;;"Rubus";;;"Rubus";;;"Rubus";"Rubus";;;;;;12
"Rubus bertramii G. Braun";1263;"Rubus bertramii G. Braun";1;0;0;0;1;1;0;0;0;0;0;0;;;;;0;;"Rubus ";"bertramii";;"Rubus ";"bertramii";;"Rubus bertramii";"Rubus bertramii";;;;;;9
"Rubus caesius L.";1264;"Rubus caesius L.";1;0;0;1;1;1;0;0;0;0;0;0;1089;;1387;50;0;7;"Rubus ";"caesius";;"Rubus ";"caesius";;"Rubus caesius";"Rubus caesius";7;7;7;6;0;9
"Rubus ferocior H.E. Weber";1265;"Rubus ferocior H.E. Weber";1;0;0;0;1;1;0;0;0;0;0;0;;;;;0;;"Rubus ";"ferocior";;"Rubus ";"ferocior";;"Rubus ferocior";"Rubus ferocior";;;;;;9
"Rubus fruticosus groep";1266;"Rubus fruticosus groep";1;0;0;0;1;1;0;0;0;0;0;0;1634;;;150;1;;"Rubus ";"fruticosus";"groep";"Rubus ";"fruticosus";"groep";"Rubus fruticosus groep";"Rubus fruticosus groep";;;;;;5
"Rubus fruticosus L.";1267;"Rubus fruticosus L.";1;0;0;0;1;1;0;0;0;0;0;0;1634;;1389;150;1;6;"Rubus ";"fruticosus";;"Rubus ";"fruticosus";;"Rubus fruticosus";"Rubus fruticosus";6;6;6;6;0;9
"Rubus gratus Focke";1268;"Rubus gratus Focke";1;0;0;0;1;1;0;0;0;0;0;0;;;;;0;;"Rubus ";"gratus";;"Rubus ";"gratus";;"Rubus gratus";"Rubus gratus";;;;;;9
"Rubus idaeus L.";1269;"Rubus idaeus L.";1;0;0;0;1;1;0;0;0;0;0;0;1091;;1390;150;1;6;"Rubus";"idaeus";;"Rubus";"idaeus";;"Rubus idaeus";"Rubus idaeus";6;5;5;5;0;9
"Rubus plicatus Weihe et Nees";1270;"Rubus fruticosus L.";1;0;0;0;1;1;0;0;0;0;0;0;1634;;1389;150;1;6;"Rubus ";"plicatus";;"Rubus ";"fruticosus";;"Rubus plicatus";"Rubus fruticosus";6;6;6;6;0;9
"Rubus spec";1271;"Rubus";1;0;0;0;1;1;0;0;0;0;0;0;6452;;;;0;;"Rubus ";;;"Rubus";;;"Rubus ";"Rubus";;;;;;12
"Rumex";1272;"Rumex";1;0;0;0;0;1;0;0;0;0;0;0;6454;;;;0;;"Rumex";;;"Rumex";;;"Rumex";"Rumex";;;;;;12
"Rumex acetosa L.";1273;"Rumex acetosa L.";1;0;0;0;0;1;0;0;0;0;0;0;1093;;1393;100;0;7;"Rumex ";"acetosa";;"Rumex ";"acetosa";;"Rumex acetosa";"Rumex acetosa";7;5;5;4;0;9
"Rumex acetosella L.";1274;"Rumex acetosella L.";1;0;0;0;0;1;0;0;0;0;0;0;1094;;1394;60;0;7;"Rumex ";"acetosella";;"Rumex ";"acetosella";;"Rumex acetosella";"Rumex acetosella";7;4;5;3;0;9
"Rumex aquaticus L.";1275;"Rumex aquaticus L.";1;0;0;0;1;1;0;0;0;0;0;0;1096;;1395;150;0;7;"Rumex ";"aquaticus";;"Rumex ";"aquaticus";;"Rumex aquaticus";"Rumex aquaticus";7;7;8;7;0;9
"Rumex conglomeratus Murray";1276;"Rumex conglomeratus Murray";1;0;0;0;1;1;0;0;0;0;0;0;1097;;1396;100;0;8;"Rumex ";"conglomeratus";;"Rumex ";"conglomeratus";;"Rumex conglomeratus";"Rumex conglomeratus";8;7;8;7;0;9
"Rumex crispus L.";1277;"Rumex crispus L.";1;0;0;0;1;1;0;0;0;0;0;0;1098;;1397;150;0;8;"Rumex ";"crispus";;"Rumex ";"crispus";;"Rumex crispus";"Rumex crispus";8;7;6;6;2;9
"Rumex hydrolapathum Huds.";1278;"Rumex hydrolapathum Huds.";1;0;0;0;1;1;0;0;0;0;0;0;1099;;1398;150;0;7;"Rumex ";"hydrolapathum";;"Rumex ";"hydrolapathum";;"Rumex hydrolapathum";"Rumex hydrolapathum";7;7;10;6;0;9
"Rumex maritimus L.";1279;"Rumex maritimus L.";1;0;0;0;0;1;0;0;0;0;0;0;1100;;1400;50;0;8;"Rumex ";"maritimus";;"Rumex ";"maritimus";;"Rumex maritimus";"Rumex maritimus";8;7;9;7;0;9
"Rumex obtusifolius groep";1280;"Rumex obtusifolius groep";1;0;0;0;1;1;0;0;0;0;0;0;1101;;;150;0;;"Rumex ";"obtusifolius";"groep";"Rumex ";"obtusifolius";"groep";"Rumex obtusifolius groep";"Rumex obtusifolius groep";7;;6;9;0;5
"Rumex obtusifolius L.";1281;"Rumex obtusifolius L.";1;0;0;0;1;1;0;0;0;0;0;0;1101;;1401;150;0;7;"Rumex ";"obtusifolius";;"Rumex ";"obtusifolius";;"Rumex obtusifolius";"Rumex obtusifolius";7;7;5;9;0;9
"Rumex obtusifolius subsp. obtusifolius";1282;"Rumex obtusifolius L. subsp. obtusifolius";1;0;0;0;1;1;0;0;0;0;0;0;2382;;;150;0;7;"Rumex ";"obtusifolius";"subsp. obtusifolius";"Rumex ";"obtusifolius";"subsp. obtusifolius";"Rumex obtusifolius subsp. obtusifolius";"Rumex obtusifolius subsp. obtusifolius";7;;6;9;0;22
"Rumex obtusifolius subsp. transiens (Simonk.) Rech. f.";1283;"Rumex obtusifolius L. subsp. transiens (Simonk.) Rech. f.";1;0;0;0;1;1;0;0;0;0;0;0;1105;;;150;0;7;"Rumex ";"obtusifolius";"subsp. transiens";"Rumex ";"obtusifolius";"subsp. transiens";"Rumex obtusifolius subsp. transiens";"Rumex obtusifolius subsp. transiens";7;;6;9;0;22
"Rumex palustris Smith";1284;"Rumex palustris Smith";1;0;0;0;0;1;0;0;0;0;0;0;1102;;1402;100;0;7;"Rumex ";"palustris";;"Rumex ";"palustris";;"Rumex palustris";"Rumex palustris";7;7;8;8;0;9
"Rumex sanguineus L.";1285;"Rumex sanguineus L.";1;0;0;0;0;1;0;0;0;0;0;0;1103;;1406;120;1;5;"Rumex ";"sanguineus";;"Rumex ";"sanguineus";;"Rumex sanguineus";"Rumex sanguineus";5;7;7;7;0;9
"Rumex x heterophyllus C.F. Schultz";1286;"Rumex x heterophyllus C.F. Schultz";1;0;0;0;1;1;0;0;0;0;0;0;;;;;0;;"Rumex ";"x heterophyllus";;"Rumex ";"x heterophyllus";;"Rumex x heterophyllus";"Rumex x heterophyllus";;;;;;18
"Rumex x pratensis Mert. et Koch";1287;"Rumex x pratensis Mert. et Koch";1;0;0;0;1;1;0;0;0;0;0;0;1095;;;150;0;;"Rumex ";"x pratensis";;"Rumex ";"x pratensis";;"Rumex x pratensis";"Rumex x pratensis";;;;;;18
"Sagina apetala Ard.";1288;"Sagina apetala Ard.";1;0;0;0;0;0;0;1;0;0;0;0;1109;;1410;10;0;9;"Sagina ";"apetala";;"Sagina ";"apetala";;"Sagina apetala";"Sagina apetala";9;6;4;3;0;9
"Sagina maritima G. Don";1289;"Sagina maritima G. Don";1;0;0;0;0;0;0;1;0;0;0;0;1110;;1411;10;0;9;"Sagina ";"maritima";;"Sagina ";"maritima";;"Sagina maritima";"Sagina maritima";9;7;7;4;4;9
"Sagina nodosa (L.) Fenzl";1290;"Sagina nodosa (L.) Fenzl";1;0;0;0;0;1;0;0;0;0;0;0;1111;;1413;20;0;8;"Sagina ";"nodosa";;"Sagina ";"nodosa";;"Sagina nodosa";"Sagina nodosa";8;7;7;3;1;9
