"scientname_hill";"scientname_belgium";"status";"BRC";"LO";"LOopm";"L";"Lopm";"FO";"FOopm";"F";"Fopm";"RO";"ROopm";"R";"Ropm";"NO";"NOopm";"N";"Nopm";"SO";"SOopm";"S";"Sopm";"LOtext";"Ltext";"Ltexts";"FOtext";"Ftext";"Ftexts";"ROtext";"Rtext";"Rtexts";"NOtext";"Ntext";"Ntexts";"SOtext";"Stext";"Stexts";"Id_Hill"
"Cirsium palustre";"Cirsium palustre (L.) Scop.";;"520";7,00;;7,00;;8,00;;8,00;;4,00;;5,00;;3,00;;4,00;;0,00;;0,00;;"7";7,00;;"8";8,00;;"4";5,00;;"3";4,00;;"0";0,00;;389
"Cirsium tuberosum";"Cirsium tuberosum (L.) All.";;"521";7,00;;8,00;"+";6,00;;6,00;"°";8,00;;8,00;"°";3,00;;3,00;"°";0,00;;0,00;"°";"7";8,00;"+";"6";6,00;"3";"8";8,00;"3";"3";3,00;"3";"0";0,00;"3";390
"Cirsium vulgare";"Cirsium vulgare (Savi) Ten.";;"522";8,00;;7,00;;5,00;;5,00;;7,00;;6,00;;8,00;;6,00;"!";0,00;;0,00;;"8";7,00;;"5";5,00;;"7";6,00;;"8";6,00;"7";"0";0,00;;391
"Cladium mariscus";"Cladium mariscus (L.) Pohl";;"523";9,00;;8,00;;10,00;;9,00;;9,00;;8,00;"+";3,00;;4,00;;0,00;;0,00;;"9";8,00;;"10";9,00;;"9";8,00;"+";"3";4,00;;"0";0,00;;392
"Claytonia perfoliata";"Claytonia perfoliata Donn ex Willd.";1,00;"525";6,00;;6,00;"+";5,00;;6,00;;7,00;;5,00;"!";7,00;;5,00;"!";0,00;;0,00;;"6";6,00;"+";"5";6,00;;"7";5,00;"7";"7";5,00;"7";"0";0,00;;393
"Claytonia sibirica";"Claytonia sibirica L.";1,00;"524";;"–";5,00;;;"–";7,00;;;"–";6,00;;;"–";6,00;;;"–";0,00;;"–";5,00;;"–";7,00;;"–";6,00;;"–";6,00;;"–";0,00;;394
"Clematis vitalba";"Clematis vitalba L.";;"528";7,00;;6,00;;5,00;;4,00;;7,00;;8,00;;7,00;;5,00;"!";0,00;;0,00;;"7";6,00;;"5";4,00;;"7";8,00;;"7";5,00;"7";"0";0,00;;395
"Clinopodium acinos";"Acinos arvensis (Lam.) Dandy";;"12";9,00;;8,00;;2,00;;2,00;;5,00;;8,00;"*";1,00;;1,00;;0,00;;0,00;;"9";8,00;;"2";2,00;;"5";8,00;"Q";"1";1,00;;"0";0,00;;396
"Clinopodium ascendens";"Calamintha ascendens Jord.";;"296";;"–";7,00;;;"–";5,00;"+";;"–";7,00;;;"–";6,00;"+";;"–";0,00;;"–";7,00;;"–";5,00;"+";"–";7,00;;"–";6,00;"+";"–";0,00;;397
"Clinopodium calamintha";"Calamintha nepeta (L.) Savi subsp. spruneri (Boiss.) Nyman";;"298";8,00;;8,00;"°";3,00;;3,00;"°";9,00;;9,00;"°";3,00;;3,00;"°";0,00;;0,00;"°";"8";8,00;"3";"3";3,00;"3";"9";9,00;"3";"3";3,00;"3";"0";0,00;"3";398
"Clinopodium menthifolium";"Calamintha menthifolia Host";;"297";;"–";5,00;"+";;"–";5,00;"+";;"–";8,00;"+";;"–";5,00;"+";;"–";0,00;;"–";5,00;"+";"–";5,00;"+";"–";8,00;"+";"–";5,00;"+";"–";0,00;;399
"Clinopodium vulgare";"Clinopodium vulgare L.";;"530";7,00;;7,00;;4,00;;4,00;;7,00;;7,00;;3,00;;4,00;;0,00;;0,00;;"7";7,00;;"4";4,00;;"7";7,00;;"3";4,00;;"0";0,00;;400
"Cochlearia anglica";"Cochlearia anglica L.";;"532";8,00;;8,00;;8,00;;8,00;;7,00;;7,00;;7,00;;6,00;;8,00;;6,00;"+";"8";8,00;;"8";8,00;;"7";7,00;;"7";6,00;;"8";6,00;"+";401
"Cochlearia atlantica";;3,00;"3902";;"–";8,00;;;"–";6,00;;;"–";7,00;;;"–";5,00;;;"–";4,00;;"–";8,00;;"–";6,00;;"–";7,00;;"–";5,00;;"–";4,00;;402
"Cochlearia danica";"Cochlearia danica L.";;"533";9,00;;9,00;;8,00;;6,00;"!";8,00;;7,00;;5,00;;5,00;;4,00;;4,00;"+";"9";9,00;;"8";6,00;"7";"8";7,00;;"5";5,00;;"4";4,00;"+";403
"Cochlearia micacea";;3,00;"534";;"–";8,00;"+";;"–";8,00;"+";;"–";7,00;"+";;"–";2,00;"+";;"–";0,00;;"–";8,00;"+";"–";8,00;"+";"–";7,00;"+";"–";2,00;"+";"–";0,00;;404
"Cochlearia officinalis";"Cochlearia officinalis L.";;"535";8,00;;8,00;;7,00;;6,00;;7,00;;7,00;;6,00;;5,00;;2,00;;3,00;"+";"8";8,00;;"7";6,00;;"7";7,00;;"6";5,00;;"2";3,00;"+";405
"Cochlearia pyrenaica";"Cochlearia pyrenaica DC.";;"5422";8,00;;8,00;"°";9,00;;7,00;"+";8,00;;8,00;"°";3,00;;3,00;"°";0,00;;0,00;"°";"8";8,00;"3";"9";7,00;"+";"8";8,00;"3";"3";3,00;"3";"0";0,00;"3";406
"Coeloglossum viride";"Coeloglossum viride (L.) Hartm.";;"537";8,00;;7,00;;4,00;;4,00;;4,00;;6,00;"+";2,00;;2,00;;0,00;;0,00;;"8";7,00;;"4";4,00;;"4";6,00;"+";"2";2,00;;"0";0,00;;407
"Coincya monensis";"Coincya monensis (L.) Greuter et Burdet";;"5396";9,00;;9,00;"°";4,00;;4,00;"°";6,00;;6,00;"°";3,00;;3,00;"°";0,00;;0,00;"°";"9";9,00;"3";"4";4,00;"3";"6";6,00;"3";"3";3,00;"3";"0";0,00;"3";408
"Coincya wrightii";;3,00;"1690";;"–";9,00;"+";;"–";4,00;"+";;"–";4,00;"+";;"–";3,00;"+";;"–";0,00;;"–";9,00;"+";"–";4,00;"+";"–";4,00;"+";"–";3,00;"+";"–";0,00;;409
"Colchicum autumnale";"Colchicum autumnale L.";;"538";6,00;;6,00;"+";6,00;;6,00;"+";7,00;;6,00;;;"•";4,00;;0,00;;0,00;;"6";6,00;"+";"6";6,00;"+";"7";6,00;;"•";4,00;;"0";0,00;;410
"Colutea arborescens";"Colutea arborescens L.";1,00;"539";5,00;;7,00;"+";3,00;;4,00;"+";8,00;;8,00;"°";2,00;;3,00;"+";0,00;;0,00;"°";"5";7,00;"+";"3";4,00;"+";"8";8,00;"3";"2";3,00;"+";"0";0,00;"3";411
"Conium maculatum";"Conium maculatum L.";;"540";8,00;;8,00;;6,00;;5,00;;;"•";7,00;;8,00;;8,00;;0,00;;0,00;;"8";8,00;;"6";5,00;;"•";7,00;;"8";8,00;;"0";0,00;;412
"Conopodium majus";"Conopodium majus (Gouan) Loret";;"541";8,00;;6,00;"!";5,00;;5,00;;4,00;;5,00;;4,00;;5,00;;0,00;;0,00;;"8";6,00;"7";"5";5,00;;"4";5,00;;"4";5,00;;"0";0,00;;413
"Consolida ajacis";"Consolida ajacis (L.) Schur";1,00;"622";6,00;;8,00;"+";4,00;;4,00;"°";8,00;;8,00;"°";5,00;;4,00;"+";0,00;;0,00;"°";"6";8,00;"+";"4";4,00;"3";"8";8,00;"3";"5";4,00;"+";"0";0,00;"3";414
"Convallaria majalis";"Convallaria majalis L.";;"543";5,00;;5,00;;4,00;;5,00;;;"•";6,00;;4,00;;5,00;;0,00;;0,00;;"5";5,00;;"4";5,00;;"•";6,00;;"4";5,00;;"0";0,00;;415
"Convolvulus arvensis";"Convolvulus arvensis L.";;"544";7,00;;7,00;;4,00;;4,00;;7,00;;8,00;;;"•";6,00;;0,00;;0,00;;"7";7,00;;"4";4,00;;"7";8,00;;"•";6,00;;"0";0,00;;416
"Conyza canadensis";"Conyza canadensis (L.) Cronq.";1,00;"735";8,00;;7,00;;4,00;;4,00;;;"•";7,00;;5,00;;6,00;;0,00;;0,00;;"8";7,00;;"4";4,00;;"•";7,00;;"5";6,00;;"0";0,00;;417
"Corallorhiza trifida";"Corallorhiza trifida Châtel.";;"545";;"•";5,00;"+";5,00;;5,00;"°";3,00;;5,00;"+";;"•";4,00;"+";0,00;;0,00;"°";"•";5,00;"+";"5";5,00;"3";"3";5,00;"+";"•";4,00;"+";"0";0,00;"3";418
"Coriandrum sativum";"Coriandrum sativum L.";1,00;"546";;"–";8,00;;;"–";4,00;;;"–";6,00;;;"–";5,00;;;"–";0,00;;"–";8,00;;"–";4,00;;"–";6,00;;"–";5,00;;"–";0,00;;419
"Cornus sanguinea";"Cornus sanguinea L.";;"548";7,00;;7,00;"+";5,00;;5,00;;7,00;;7,00;;;"•";6,00;;0,00;;0,00;;"7";7,00;"+";"5";5,00;;"7";7,00;;"•";6,00;;"0";0,00;;420
"Cornus sericea";"Cornus sericea L.";1,00;"549";;"–";6,00;"+";;"–";7,00;"+";;"–";5,00;"+";;"–";6,00;"+";;"–";0,00;;"–";6,00;"+";"–";7,00;"+";"–";5,00;"+";"–";6,00;"+";"–";0,00;;421
"Cornus suecica";;;"478";5,00;;6,00;;7,00;;6,00;;2,00;;1,00;;2,00;;2,00;;0,00;;0,00;;"5";6,00;;"7";6,00;;"2";1,00;;"2";2,00;;"0";0,00;;422
"Coronopus didymus";"Coronopus didymus (L.) Smith";1,00;"551";9,00;;9,00;"+";5,00;;5,00;;6,00;;6,00;;6,00;;7,00;"+";0,00;;0,00;;"9";9,00;"+";"5";5,00;;"6";6,00;;"6";7,00;"+";"0";0,00;;423
"Coronopus squamatus";"Coronopus squamatus (Forssk.) Aschers.";;"552";8,00;;7,00;;6,00;;5,00;;7,00;;7,00;;6,00;;7,00;;1,00;;0,00;;"8";7,00;;"6";5,00;;"7";7,00;;"6";7,00;;"1";0,00;;424
"Corrigiola litoralis";"Corrigiola litoralis L.";;"553";8,00;;8,00;"°";7,00;;7,00;"°";5,00;;5,00;"°";5,00;;5,00;"°";0,00;;0,00;"°";"8";8,00;"3";"7";7,00;"3";"5";5,00;"3";"5";5,00;"3";"0";0,00;"3";425
"Corylus avellana";"Corylus avellana L.";;"557";6,00;;4,00;"!";;"•";5,00;;;"•";6,00;;5,00;;6,00;;0,00;;0,00;;"6";4,00;"7";"•";5,00;;"•";6,00;;"5";6,00;;"0";0,00;;426
"Corynephorus canescens";"Corynephorus canescens (L.) Beauv.";;"558";8,00;;9,00;;2,00;;1,00;;3,00;;3,00;;2,00;;1,00;"+";0,00;;0,00;;"8";9,00;;"2";1,00;;"3";3,00;;"2";1,00;"+";"0";0,00;;427
"Cotoneaster bullatus";"Cotoneaster bullatus Bois";1,00;"2928";;"–";7,00;;;"–";4,00;;;"–";7,00;;;"–";4,00;;;"–";0,00;;"–";7,00;;"–";4,00;;"–";7,00;;"–";4,00;;"–";0,00;;428
"Cotoneaster cambricus";;3,00;"561";8,00;;8,00;"°";3,00;;3,00;"°";7,00;;7,00;"°";2,00;;2,00;"°";0,00;;0,00;"°";"8";8,00;"3";"3";3,00;"3";"7";7,00;"3";"2";2,00;"3";"0";0,00;"3";429
"Cotoneaster horizontalis";"Cotoneaster horizontalis Decaisne";1,00;"560";;"–";8,00;;;"–";3,00;;;"–";8,00;;;"–";4,00;;;"–";0,00;;"–";8,00;;"–";3,00;;"–";8,00;;"–";4,00;;"–";0,00;;430
"Cotoneaster integrifolius";;1,00;"562";;"–";7,00;;;"–";3,00;;;"–";7,00;;;"–";4,00;;;"–";0,00;;"–";7,00;;"–";3,00;;"–";7,00;;"–";4,00;;"–";0,00;;431
"Cotoneaster simonsii";"Cotoneaster simonsii Baker";1,00;"563";;"–";6,00;;;"–";5,00;;;"–";6,00;;;"–";4,00;;;"–";0,00;;"–";6,00;;"–";5,00;;"–";6,00;;"–";4,00;;"–";0,00;;432
"Crambe maritima";"Crambe maritima L.";;"565";9,00;;9,00;;6,00;;5,00;;7,00;;8,00;;8,00;;7,00;"+";3,00;;3,00;"+";"9";9,00;;"6";5,00;;"7";8,00;;"8";7,00;"+";"3";3,00;"+";433
"Crassula aquatica";;;"566";8,00;;8,00;"°";7,00;;9,00;"+";;"•";5,00;"+";2,00;;5,00;"+";0,00;;0,00;"°";"8";8,00;"3";"7";9,00;"+";"•";5,00;"+";"2";5,00;"+";"0";0,00;"3";434
"Crassula helmsii";"Crassula helmsii (T. Kirk) Cock.";1,00;"2423";;"–";7,00;;;"–";10,00;"*";;"–";6,00;;;"–";7,00;;;"–";0,00;;"–";7,00;;"–";1,00;"0";"–";6,00;;"–";7,00;;"–";0,00;;435
"Crassula tillaea";"Crassula tillaea Lester-Garland";;"567";8,00;;8,00;;7,00;;7,00;"+";;"•";4,00;;3,00;;2,00;;0,00;;0,00;;"8";8,00;;"7";7,00;"+";"•";4,00;;"3";2,00;;"0";0,00;;436
"Crataegus laevigata";"Crataegus laevigata (Poiret) DC.";;"570";6,00;;5,00;;5,00;;5,00;;7,00;;7,00;;5,00;;5,00;;0,00;;0,00;;"6";5,00;;"5";5,00;;"7";7,00;;"5";5,00;;"0";0,00;;437
"Crataegus monogyna";"Crataegus monogyna Jacq.";;"569";7,00;;6,00;;4,00;;5,00;;8,00;;7,00;;4,00;;6,00;"!";0,00;;0,00;;"7";6,00;;"4";5,00;;"8";7,00;;"4";6,00;"7";"0";0,00;;438
"Crepis biennis";"Crepis biennis L.";;"571";7,00;;8,00;;6,00;;5,00;;6,00;;7,00;;5,00;;6,00;;0,00;;0,00;"+";"7";8,00;;"6";5,00;;"6";7,00;;"5";6,00;;"0";0,00;"+";439
"Crepis capillaris";"Crepis capillaris (L.) Wallr.";;"572";7,00;;7,00;;5,00;;4,00;;6,00;;7,00;;4,00;;4,00;;0,00;;0,00;;"7";7,00;;"5";4,00;;"6";7,00;;"4";4,00;;"0";0,00;;440
"Crepis foetida";"Crepis foetida L.";;"573";9,00;;9,00;"°";4,00;;4,00;"°";7,00;;6,00;"+";3,00;;3,00;"°";0,00;;0,00;"°";"9";9,00;"3";"4";4,00;"3";"7";6,00;"+";"3";3,00;"3";"0";0,00;"3";441
"Crepis mollis";;;"574";8,00;;8,00;"°";5,00;;5,00;"°";5,00;;7,00;"+";5,00;;5,00;"°";0,00;;0,00;"°";"8";8,00;"3";"5";5,00;"3";"5";7,00;"+";"5";5,00;"3";"0";0,00;"3";442
"Crepis paludosa";"Crepis paludosa (L.) Moench";;"576";7,00;;6,00;;8,00;;7,00;;8,00;;6,00;"!";6,00;;4,00;"!";0,00;;0,00;;"7";6,00;;"8";7,00;;"8";6,00;"7";"6";4,00;"7";"0";0,00;;443
"Crepis praemorsa";"Crepis praemorsa (L.) F.W. Walther";;"4518";6,00;;8,00;"+";3,00;;3,00;"°";9,00;;9,00;"°";3,00;;3,00;"°";0,00;;0,00;"°";"6";8,00;"+";"3";3,00;"3";"9";9,00;"3";"3";3,00;"3";"0";0,00;"3";444
"Crepis vesicaria";"Crepis polymorpha Pourr.";1,00;"578";9,00;;8,00;;4,00;;5,00;;8,00;;7,00;;5,00;;7,00;"!";0,00;;0,00;;"9";8,00;;"4";5,00;;"8";7,00;;"5";7,00;"7";"0";0,00;;445
"Crithmum maritimum";"Crithmum maritimum L.";;"579";;"–";9,00;;;"–";6,00;"+";;"–";7,00;;;"–";5,00;;;"–";5,00;;"–";9,00;;"–";6,00;"+";"–";7,00;;"–";5,00;;"–";5,00;;446
"Crocosmia x crocosmiiflora";"Crocosmia x crocosmiiflora (Lemoine) N.E. Brown";1,00;"580";;"–";7,00;"+";;"–";6,00;"+";;"–";4,00;"+";;"–";4,00;"+";;"–";0,00;;"–";7,00;"+";"–";6,00;"+";"–";4,00;"+";"–";4,00;"+";"–";0,00;;447
"Cruciata laevipes";"Cruciata laevipes Opiz";;"875";7,00;;6,00;;6,00;;5,00;;6,00;;7,00;;7,00;;5,00;"!";0,00;;0,00;;"7";6,00;;"6";5,00;;"6";7,00;;"7";5,00;"7";"0";0,00;;448
"Cryptogramma crispa";"Cryptogramma crispa (L.) R. Brown ex Hook.";;"586";8,00;;7,00;"+";5,00;;5,00;;3,00;;2,00;;2,00;;3,00;;0,00;;0,00;;"8";7,00;"+";"5";5,00;;"3";2,00;;"2";3,00;;"0";0,00;;449
"Cuscuta epithymum";"Cuscuta epithymum (L.) L.";;"589";;"•";7,00;;;"•";6,00;;;"•";2,00;"+";2,00;;2,00;"+";0,00;;0,00;;"•";7,00;;"•";6,00;;"•";2,00;"+";"2";2,00;"+";"0";0,00;;450
"Cuscuta europaea";"Cuscuta europaea L.";;"590";;"•";6,00;"+";7,00;;7,00;"°";;"•";6,00;"+";7,00;;7,00;"°";0,00;;0,00;"°";"•";6,00;"+";"7";7,00;"3";"•";6,00;"+";"7";7,00;"3";"0";0,00;"3";451
"Cymbalaria muralis";"Cymbalaria muralis Gaertn., B. Mey. et Scherb.";1,00;"592";7,00;;7,00;;6,00;;5,00;"+";8,00;;7,00;;5,00;;6,00;;0,00;;0,00;;"7";7,00;;"6";5,00;"+";"8";7,00;;"5";6,00;;"0";0,00;;452
"Cynoglossum germanicum";"Cynoglossum germanicum Jacq.";;"595";6,00;;6,00;"°";5,00;;5,00;"°";8,00;;8,00;"°";8,00;;7,00;"+";0,00;;0,00;"°";"6";6,00;"3";"5";5,00;"3";"8";8,00;"3";"8";7,00;"+";"0";0,00;"3";453
"Cynoglossum officinale";"Cynoglossum officinale L.";;"596";8,00;;8,00;;4,00;;4,00;;7,00;;8,00;;7,00;;6,00;"+";0,00;;1,00;;"8";8,00;;"4";4,00;;"7";8,00;;"7";6,00;"+";"0";1,00;;454
"Cynosurus cristatus";"Cynosurus cristatus L.";;"597";8,00;;7,00;;5,00;;5,00;;;"•";6,00;;4,00;;4,00;;0,00;;0,00;;"8";7,00;;"5";5,00;;"•";6,00;;"4";4,00;;"0";0,00;;455
"Cyperus fuscus";"Cyperus fuscus L.";;"599";9,00;;9,00;"°";7,00;;8,00;"+";;"•";5,00;"+";4,00;;4,00;"°";0,00;;0,00;"°";"9";9,00;"3";"7";8,00;"+";"•";5,00;"+";"4";4,00;"3";"0";0,00;"3";456
"Cyperus longus";"Cyperus longus L.";;"600";8,00;;8,00;"°";9,00;;9,00;"°";;"•";7,00;"+";5,00;;5,00;"°";0,00;;0,00;"°";"8";8,00;"3";"9";9,00;"3";"•";7,00;"+";"5";5,00;"3";"0";0,00;"3";457
"Cypripedium calceolus";"Cypripedium calceolus L.";;"601";5,00;;5,00;"°";4,00;;4,00;"°";8,00;;8,00;"°";4,00;;4,00;"°";0,00;;0,00;"°";"5";5,00;"3";"4";4,00;"3";"8";8,00;"3";"4";4,00;"3";"0";0,00;"3";458
"Cystopteris dickieana";;;"602";5,00;;5,00;"°";7,00;;7,00;"°";9,00;;8,00;"+";2,00;;2,00;"°";0,00;;0,00;"°";"5";5,00;"3";"7";7,00;"3";"9";8,00;"+";"2";2,00;"3";"0";0,00;"3";459
"Cystopteris fragilis";"Cystopteris fragilis (L.) Bernh.";;"603";5,00;;6,00;;7,00;;7,00;"+";8,00;;8,00;"+";4,00;;4,00;;0,00;;0,00;;"5";6,00;;"7";7,00;"+";"8";8,00;"+";"4";4,00;;"0";0,00;;460
"Cystopteris montana";;;"604";4,00;;5,00;"+";7,00;;7,00;"°";9,00;;9,00;"°";2,00;;2,00;"°";0,00;;0,00;"°";"4";5,00;"+";"7";7,00;"3";"9";9,00;"3";"2";2,00;"3";"0";0,00;"3";461
"Cytisus scoparius";"Cytisus scoparius (L.) Link";;"1822";8,00;;8,00;"+";4,00;;5,00;;3,00;;4,00;;4,00;;4,00;;0,00;;0,00;;"8";8,00;"+";"4";5,00;;"3";4,00;;"4";4,00;;"0";0,00;;462
"Daboecia cantabrica";;4,00;"605";;"–";8,00;"+";;"–";5,00;"+";;"–";3,00;"+";;"–";2,00;"+";;"–";0,00;;"–";8,00;"+";"–";5,00;"+";"–";3,00;"+";"–";2,00;"+";"–";0,00;;463
"Dactylis glomerata";"Dactylis glomerata L.";;"607";7,00;;7,00;;5,00;;5,00;;;"•";7,00;;6,00;;6,00;;0,00;;0,00;;"7";7,00;;"5";5,00;;"•";7,00;;"6";6,00;;"0";0,00;;464
"Dactylorhiza fuchsii";"Dactylorhiza fuchsii (Druce) Soó";;"608";;"–";7,00;"+";;"–";8,00;;;"–";7,00;;;"–";3,00;;;"–";0,00;;"–";7,00;"+";"–";8,00;;"–";7,00;;"–";3,00;;"–";0,00;;465
"Dactylorhiza incarnata";"Dactylorhiza incarnata (L.) Soó";;"609";8,00;;8,00;;8,00;;9,00;;7,00;;6,00;;2,00;;2,00;;0,00;;0,00;;"8";8,00;;"8";9,00;;"7";6,00;;"2";2,00;;"0";0,00;;466
"Dactylorhiza lapponica";;;"2964";;"–";8,00;"+";;"–";8,00;"+";;"–";6,00;"+";;"–";2,00;"+";;"–";0,00;;"–";8,00;"+";"–";8,00;"+";"–";6,00;"+";"–";2,00;"+";"–";0,00;;467
"Dactylorhiza maculata";"Dactylorhiza maculata (L.) Soó";;"610";7,00;;7,00;;8,00;;7,00;;;"•";3,00;;2,00;;2,00;;0,00;;0,00;;"7";7,00;;"8";7,00;;"•";3,00;;"2";2,00;;"0";0,00;;468
"Dactylorhiza majalis";"Dactylorhiza fistulosa (Moench) H. Baumann et Künkele";;"611";8,00;;7,00;;8,00;;7,00;;7,00;;5,00;"!";3,00;;3,00;;0,00;;0,00;;"8";7,00;;"8";7,00;;"7";5,00;"7";"3";3,00;;"0";0,00;;469
"Dactylorhiza praetermissa";"Dactylorhiza praetermissa (Druce) Soó";;"612";9,00;;8,00;;9,00;;8,00;;8,00;;7,00;"+";2,00;;3,00;;0,00;;0,00;;"9";8,00;;"9";8,00;;"8";7,00;"+";"2";3,00;;"0";0,00;;470
"Dactylorhiza purpurella";;;"613";;"–";8,00;;;"–";8,00;;;"–";7,00;;;"–";2,00;;;"–";1,00;;"–";8,00;;"–";8,00;;"–";7,00;;"–";2,00;;"–";1,00;;471
"Dactylorhiza traunsteineri";"Dactylorhiza traunsteineri (Sauter) Soó";;"614";8,00;;8,00;;9,00;;8,00;;4,00;;7,00;"*";2,00;;2,00;;0,00;;0,00;;"8";8,00;;"9";8,00;;"4";7,00;"Q";"2";2,00;;"0";0,00;;472
"Damasonium alisma";"Damasonium alisma Mill.";;"615";;"–";8,00;"+";;"–";10,00;"+";;"–";5,00;"+";;"–";3,00;"+";;"–";0,00;;"–";8,00;"+";"–";1,00;"+";"–";5,00;"+";"–";3,00;"+";"–";0,00;;473
"Danthonia decumbens";"Danthonia decumbens (L.) DC.";;"1915";8,00;;7,00;;;"•";6,00;;3,00;;4,00;;2,00;;2,00;;0,00;;0,00;;"8";7,00;;"•";6,00;;"3";4,00;;"2";2,00;;"0";0,00;;474
"Daphne laureola";"Daphne laureola L.";;"617";4,00;;4,00;;4,00;;5,00;;8,00;;7,00;;4,00;;5,00;;0,00;;0,00;;"4";4,00;;"4";5,00;;"8";7,00;;"4";5,00;;"0";0,00;;475
"Daphne mezereum";"Daphne mezereum L.";;"618";4,00;;4,00;;5,00;;5,00;;7,00;;7,00;;5,00;;6,00;;0,00;;0,00;;"4";4,00;;"5";5,00;;"7";7,00;;"5";6,00;;"0";0,00;;476
"Daucus carota";"Daucus carota L.";;"620";8,00;;8,00;;4,00;;4,00;;;"•";7,00;;4,00;;3,00;;0,00;;2,00;"+";"8";8,00;;"4";4,00;;"•";7,00;;"4";3,00;;"0";2,00;"+";477
"Daucus carota (crop)";"Daucus carota L. subsp. carota cv. Sativus";1,00;"5475";;"–";7,00;;;"–";5,00;;;"–";7,00;;;"–";8,00;;;"–";0,00;;"–";7,00;;"–";5,00;;"–";7,00;;"–";8,00;;"–";0,00;;478
"Deschampsia cespitosa";"Deschampsia cespitosa (L.) Beauv.";;"627";6,00;;6,00;"+";7,00;;6,00;;;"•";5,00;;3,00;;4,00;;0,00;;0,00;;"6";6,00;"+";"7";6,00;;"•";5,00;;"3";4,00;;"0";0,00;;479
"Deschampsia flexuosa";"Deschampsia flexuosa (L.) Trin.";;"628";6,00;;6,00;;;"•";5,00;;2,00;;2,00;;3,00;;3,00;;0,00;;0,00;;"6";6,00;;"•";5,00;;"2";2,00;;"3";3,00;;"0";0,00;;480
"Deschampsia setacea";"Deschampsia setacea (Huds.) Hack.";;"629";8,00;;8,00;"°";9,00;;9,00;"°";2,00;;2,00;"°";1,00;;1,00;"°";0,00;;0,00;"°";"8";8,00;"3";"9";9,00;"3";"2";2,00;"3";"1";1,00;"3";"0";0,00;"3";481
"Descurainia sophia";"Descurainia sophia (L.) Webb ex Prantl";1,00;"630";8,00;;8,00;"+";4,00;;4,00;;;"•";7,00;;6,00;;6,00;;0,00;;0,00;;"8";8,00;"+";"4";4,00;;"•";7,00;;"6";6,00;;"0";0,00;;482
"Dianthus armeria";"Dianthus armeria L.";;"631";6,00;;8,00;"+";5,00;;5,00;"°";;"•";5,00;"+";3,00;;3,00;"°";0,00;;0,00;"°";"6";8,00;"+";"5";5,00;"3";"•";5,00;"+";"3";3,00;"3";"0";0,00;"3";483
"Dianthus deltoides";"Dianthus deltoides L.";;"635";8,00;;8,00;"°";3,00;;3,00;"°";3,00;;5,00;"+";2,00;;2,00;"°";0,00;;0,00;"°";"8";8,00;"3";"3";3,00;"3";"3";5,00;"+";"2";2,00;"3";"0";0,00;"3";484
"Dianthus gratianopolitanus";"Dianthus gratianopolitanus Vill.";;"637";9,00;;9,00;"°";2,00;;2,00;"°";7,00;;7,00;"°";1,00;;1,00;"°";0,00;;0,00;"°";"9";9,00;"3";"2";2,00;"3";"7";7,00;"3";"1";1,00;"3";"0";0,00;"3";485
"Diapensia lapponica";;;"639";;"–";9,00;"+";;"–";3,00;"+";;"–";4,00;"+";;"–";1,00;"+";;"–";0,00;;"–";9,00;"+";"–";3,00;"+";"–";4,00;"+";"–";1,00;"+";"–";0,00;;486
"Digitalis purpurea";"Digitalis purpurea L.";;"640";7,00;;6,00;;5,00;;6,00;;3,00;;4,00;;6,00;;5,00;;0,00;;0,00;;"7";6,00;;"5";6,00;;"3";4,00;;"6";5,00;;"0";0,00;;487
"Digitaria ischaemum";"Digitaria ischaemum (Schreb. ex Schweigg.) Muhlenb.";1,00;"641";7,00;;7,00;;5,00;;4,00;;2,00;;5,00;"*";3,00;;5,00;"!";0,00;;0,00;;"7";7,00;;"5";4,00;;"2";5,00;"Q";"3";5,00;"7";"0";0,00;;488
"Digitaria sanguinalis";"Digitaria sanguinalis (L.) Scop.";1,00;"642";7,00;;7,00;;4,00;;4,00;;5,00;;5,00;;5,00;;5,00;;0,00;;0,00;;"7";7,00;;"4";4,00;;"5";5,00;;"5";5,00;;"0";0,00;;489
"Diphasiastrum alpinum";"Diphasiastrum alpinum (L.) Holub";;"1213";8,00;;7,00;;5,00;;5,00;;2,00;;2,00;;2,00;;2,00;;0,00;;0,00;;"8";7,00;;"5";5,00;;"2";2,00;;"2";2,00;;"0";0,00;;490
"Diphasiastrum complanatum";"Diphasiastrum complanatum (L.) Holub";;"2277";6,00;;6,00;"°";4,00;;4,00;"°";1,00;;1,00;"°";2,00;;2,00;"°";0,00;;0,00;"°";"6";6,00;"3";"4";4,00;"3";"1";1,00;"3";"2";2,00;"3";"0";0,00;"3";491
"Diplotaxis muralis";"Diplotaxis muralis (L.) DC.";1,00;"644";8,00;;8,00;;4,00;;4,00;;8,00;;7,00;;5,00;;6,00;;0,00;;1,00;;"8";8,00;;"4";4,00;;"8";7,00;;"5";6,00;;"0";1,00;;492
"Diplotaxis tenuifolia";"Diplotaxis tenuifolia (L.) DC.";;"645";8,00;;8,00;;3,00;;5,00;"!";;"•";7,00;;6,00;;6,00;;0,00;;1,00;;"8";8,00;;"3";5,00;"7";"•";7,00;;"6";6,00;;"0";1,00;;493
